dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
10220,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 400}",0.645218,0.060838,0.828118,0.029429,0.849608,0.036738,0.796255,0.051224,0.82185,0.031331,0.822932,0.030832,0.645864,0.061664
10221,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 400}",0.645218,0.060838,0.828118,0.029429,0.849608,0.036738,0.796255,0.051224,0.82185,0.031331,0.822932,0.030832,0.645864,0.061664
8120,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.640751,0.058581,0.824957,0.028681,0.837567,0.037976,0.806266,0.048219,0.821142,0.029745,0.821917,0.029497,0.643833,0.058994
8121,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.640751,0.058581,0.824957,0.028681,0.837567,0.037976,0.806266,0.048219,0.821142,0.029745,0.821917,0.029497,0.643833,0.058994
8122,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.640632,0.058646,0.824902,0.028711,0.837556,0.038016,0.806145,0.048322,0.821072,0.029784,0.821851,0.029535,0.643701,0.05907
8123,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.640621,0.058657,0.824896,0.028717,0.837546,0.038026,0.806145,0.048322,0.821067,0.029789,0.821845,0.02954,0.643691,0.05908
19820,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.63977,0.059375,0.824548,0.029106,0.838185,0.039018,0.804341,0.049205,0.820422,0.030178,0.821263,0.029892,0.642527,0.059785
19821,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.63977,0.059375,0.824548,0.029106,0.838185,0.039018,0.804341,0.049205,0.820422,0.030178,0.821263,0.029892,0.642527,0.059785
6584,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.643176,0.058057,0.826235,0.028348,0.839775,0.037858,0.806165,0.049047,0.822144,0.029547,0.82297,0.02929,0.64594,0.058579
6585,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.643176,0.058057,0.826235,0.028348,0.839775,0.037858,0.806165,0.049047,0.822144,0.029547,0.82297,0.02929,0.64594,0.058579
4550,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 400}",0.633113,0.059547,0.822128,0.02882,0.843639,0.037775,0.790239,0.05128,0.815796,0.030577,0.816939,0.030082,0.633878,0.060164
4551,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 400}",0.633113,0.059547,0.822128,0.02882,0.843639,0.037775,0.790239,0.05128,0.815796,0.030577,0.816939,0.030082,0.633878,0.060164
2846,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.636625,0.060012,0.821988,0.02956,0.827722,0.040328,0.813488,0.050468,0.819854,0.03054,0.820605,0.030318,0.64121,0.060636
2847,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 50}",0.636625,0.060012,0.821988,0.02956,0.827722,0.040328,0.813488,0.050468,0.819854,0.03054,0.820605,0.030318,0.64121,0.060636
1404,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.643661,0.0585,0.826527,0.028496,0.840684,0.038034,0.80554,0.049944,0.822247,0.02981,0.823112,0.029532,0.646224,0.059065
1405,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.643661,0.0585,0.826527,0.028496,0.840684,0.038034,0.80554,0.049944,0.822247,0.02981,0.823112,0.029532,0.646224,0.059065
1406,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.64376,0.058405,0.82657,0.028446,0.840705,0.038048,0.805615,0.049992,0.822292,0.029765,0.82316,0.029488,0.646319,0.058975
1407,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 350}",0.64376,0.058405,0.82657,0.028446,0.840705,0.038048,0.805615,0.049992,0.822292,0.029765,0.82316,0.029488,0.646319,0.058975
4978,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 350}",0.627945,0.059088,0.818863,0.028734,0.834006,0.038697,0.79642,0.051743,0.814249,0.030338,0.815213,0.029918,0.630426,0.059835
4979,adaboost,"{'classifier__learning_rate': 1, 'classifier__n_estimators': 350}",0.627945,0.059088,0.818863,0.028734,0.834006,0.038697,0.79642,0.051743,0.814249,0.030338,0.815213,0.029918,0.630426,0.059835
7548,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.64368,0.058474,0.826576,0.028539,0.841156,0.038367,0.804966,0.049315,0.822193,0.029712,0.823061,0.029439,0.646122,0.058879
7549,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.64368,0.058474,0.826576,0.028539,0.841156,0.038367,0.804966,0.049315,0.822193,0.029712,0.823061,0.029439,0.646122,0.058879
7550,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.643705,0.058366,0.826589,0.028488,0.841157,0.038327,0.804996,0.049158,0.822212,0.029638,0.823076,0.029372,0.646153,0.058744
7551,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 400}",0.643705,0.058366,0.826589,0.028488,0.841157,0.038327,0.804996,0.049158,0.822212,0.029638,0.823076,0.029372,0.646153,0.058744
13616,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649191,0.058463,0.82863,0.028658,0.837242,0.038301,0.815853,0.049375,0.825816,0.029854,0.826547,0.029578,0.653095,0.059156
13617,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.64918,0.058456,0.828623,0.028655,0.837232,0.038306,0.815853,0.049375,0.825811,0.02985,0.826542,0.029574,0.653085,0.059148
13618,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.64924,0.058482,0.828654,0.028668,0.837262,0.0383,0.815883,0.049361,0.825843,0.029863,0.826573,0.029587,0.653146,0.059173
13619,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.64924,0.058482,0.828654,0.028668,0.837262,0.0383,0.815883,0.049361,0.825843,0.029863,0.826573,0.029587,0.653146,0.059173
13620,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649307,0.058459,0.828697,0.02864,0.837365,0.038185,0.815838,0.049384,0.825872,0.029851,0.826601,0.029579,0.653203,0.059158
13621,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649307,0.058459,0.828697,0.02864,0.837365,0.038185,0.815838,0.049384,0.825872,0.029851,0.826601,0.029579,0.653203,0.059158
13622,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649356,0.058478,0.828721,0.028651,0.837385,0.038185,0.815869,0.04937,0.825898,0.029859,0.826627,0.029588,0.653254,0.059176
13623,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649356,0.058478,0.828721,0.028651,0.837385,0.038185,0.815869,0.04937,0.825898,0.029859,0.826627,0.029588,0.653254,0.059176
13808,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.64914,0.058423,0.828605,0.028631,0.837222,0.038262,0.815823,0.04935,0.825792,0.029826,0.826522,0.029553,0.653044,0.059107
13809,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.64914,0.058423,0.828605,0.028631,0.837222,0.038262,0.815823,0.04935,0.825792,0.029826,0.826522,0.029553,0.653044,0.059107
13810,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649197,0.058432,0.828636,0.028637,0.837273,0.038277,0.815823,0.049349,0.825817,0.02983,0.826548,0.029557,0.653096,0.059114
13811,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649197,0.058432,0.828636,0.028637,0.837273,0.038277,0.815823,0.049349,0.825817,0.02983,0.826548,0.029557,0.653096,0.059114
13812,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649228,0.058437,0.82866,0.02862,0.837345,0.038147,0.815777,0.049392,0.825831,0.029836,0.826561,0.029566,0.653122,0.059132
13813,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649228,0.058437,0.82866,0.02862,0.837345,0.038147,0.815777,0.049392,0.825831,0.029836,0.826561,0.029566,0.653122,0.059132
13814,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649296,0.058453,0.828697,0.028629,0.837406,0.038156,0.815777,0.049391,0.825862,0.029844,0.826592,0.029574,0.653183,0.059147
13815,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 250}",0.649296,0.058453,0.828697,0.028629,0.837406,0.038156,0.815777,0.049391,0.825862,0.029844,0.826592,0.029574,0.653183,0.059147
