dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
20308,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633019,0.084074,0.815025,0.042891,0.786125,0.057732,0.865017,0.067283,0.82336,0.043141,0.825571,0.043019,0.651142,0.086038
20309,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633019,0.084074,0.815025,0.042891,0.786125,0.057732,0.865017,0.067283,0.82336,0.043141,0.825571,0.043019,0.651142,0.086038
20310,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633113,0.084128,0.815069,0.042907,0.786147,0.057704,0.865097,0.0673,0.823412,0.043164,0.825622,0.043047,0.651244,0.086093
20311,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633113,0.084128,0.815069,0.042907,0.786147,0.057704,0.865097,0.0673,0.823412,0.043164,0.825622,0.043047,0.651244,0.086093
7824,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.632982,0.084167,0.81501,0.042924,0.786125,0.057732,0.864977,0.067381,0.82334,0.043191,0.825551,0.043071,0.651102,0.086142
7825,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.632982,0.084167,0.81501,0.042924,0.786125,0.057732,0.864977,0.067381,0.82334,0.043191,0.825551,0.043071,0.651102,0.086142
7826,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633076,0.084221,0.815054,0.04294,0.786147,0.057704,0.865057,0.067398,0.823392,0.043214,0.825602,0.043099,0.651204,0.086197
7827,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.633076,0.084221,0.815054,0.04294,0.786147,0.057704,0.865057,0.067398,0.823392,0.043214,0.825602,0.043099,0.651204,0.086197
7828,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.632947,0.08412,0.814996,0.042903,0.786125,0.057732,0.864937,0.06736,0.82332,0.043164,0.825531,0.043045,0.651062,0.086089
7829,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300}",0.632947,0.08412,0.814996,0.042903,0.786125,0.057732,0.864937,0.06736,0.82332,0.043164,0.825531,0.043045,0.651062,0.086089
