dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
160,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
161,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
162,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
163,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
164,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
165,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.71223,0.068505,0.858608,0.033388,0.894664,0.041711,0.810686,0.058842,0.850786,0.035656,0.852675,0.034763,0.70535,0.069527
166,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
167,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
352,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
353,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
354,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
355,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712207,0.06856,0.858598,0.033413,0.894683,0.041711,0.810637,0.058867,0.850769,0.035684,0.85266,0.034791,0.70532,0.069581
356,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
357,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
358,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
359,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712272,0.068522,0.858629,0.033396,0.894701,0.041706,0.810686,0.058842,0.850804,0.035665,0.852694,0.034772,0.705387,0.069545
928,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712247,0.068561,0.858619,0.033413,0.894702,0.04168,0.810662,0.05886,0.850792,0.035686,0.852682,0.034793,0.705363,0.069585
929,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712247,0.068561,0.858619,0.033413,0.894702,0.04168,0.810662,0.05886,0.850792,0.035686,0.852682,0.034793,0.705363,0.069585
930,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712247,0.068561,0.858619,0.033413,0.894702,0.04168,0.810662,0.05886,0.850792,0.035686,0.852682,0.034793,0.705363,0.069585
931,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712247,0.068561,0.858619,0.033413,0.894702,0.04168,0.810662,0.05886,0.850792,0.035686,0.852682,0.034793,0.705363,0.069585
932,adaboost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.712312,0.068522,0.85865,0.033396,0.89472,0.041674,0.81071,0.058835,0.850827,0.035667,0.852715,0.034774,0.70543,0.069548
