dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
5817,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.542712,0.067779,0.77534,0.033737,0.781514,0.045327,0.766184,0.052782,0.772988,0.03432,0.773849,0.034089,0.547698,0.068178
23677,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.561376,0.065847,0.783971,0.032626,0.786202,0.04488,0.780656,0.054811,0.782519,0.033516,0.783429,0.033282,0.566858,0.066564
23677,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.561376,0.065847,0.783971,0.032626,0.786202,0.04488,0.780656,0.054811,0.782519,0.033516,0.783429,0.033282,0.566858,0.066564
9663,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.523172,0.072161,0.766042,0.03568,0.775299,0.046788,0.75233,0.057561,0.76278,0.036795,0.763814,0.036451,0.527629,0.072903
9663,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.523172,0.072161,0.766042,0.03568,0.775299,0.046788,0.75233,0.057561,0.76278,0.036795,0.763814,0.036451,0.527629,0.072903
15034,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.549576,0.066859,0.777572,0.03327,0.776903,0.046152,0.778569,0.054973,0.776802,0.033945,0.777736,0.033747,0.555472,0.067493
15034,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.549576,0.066859,0.777572,0.03327,0.776903,0.046152,0.778569,0.054973,0.776802,0.033945,0.777736,0.033747,0.555472,0.067493
8698,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.555136,0.065073,0.780574,0.032487,0.781207,0.045852,0.779631,0.053223,0.779518,0.032923,0.780419,0.032767,0.560838,0.065534
8698,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.555136,0.065073,0.780574,0.032487,0.781207,0.045852,0.779631,0.053223,0.779518,0.032923,0.780419,0.032767,0.560838,0.065534
8698,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.555136,0.065073,0.780574,0.032487,0.781207,0.045852,0.779631,0.053223,0.779518,0.032923,0.780419,0.032767,0.560838,0.065534
