dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
3877,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 7, 'classifier__splitter': 'best'}",0.444944,0.108362,0.73621,0.051651,0.768656,0.064019,0.680098,0.092193,0.720605,0.056928,0.724377,0.054997,0.448755,0.109994
3877,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 7, 'classifier__splitter': 'best'}",0.444944,0.108362,0.73621,0.051651,0.768656,0.064019,0.680098,0.092193,0.720605,0.056928,0.724377,0.054997,0.448755,0.109994
24253,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.477626,0.102986,0.745713,0.05071,0.751232,0.066188,0.736126,0.088466,0.741334,0.053906,0.743679,0.052842,0.487358,0.105683
24253,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.477626,0.102986,0.745713,0.05071,0.751232,0.066188,0.736126,0.088466,0.741334,0.053906,0.743679,0.052842,0.487358,0.105683
15231,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.4821,0.105577,0.745867,0.051806,0.744165,0.067346,0.748911,0.090854,0.744155,0.054895,0.746538,0.054138,0.493076,0.108276
15231,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.4821,0.105577,0.745867,0.051806,0.744165,0.067346,0.748911,0.090854,0.744155,0.054895,0.746538,0.054138,0.493076,0.108276
23676,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.449419,0.104732,0.731854,0.051147,0.738729,0.067678,0.719875,0.092622,0.726601,0.055152,0.729302,0.053749,0.458604,0.107498
23676,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.449419,0.104732,0.731854,0.051147,0.738729,0.067678,0.719875,0.092622,0.726601,0.055152,0.729302,0.053749,0.458604,0.107498
24447,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.514221,0.097535,0.763293,0.047428,0.765445,0.061243,0.759505,0.085096,0.760457,0.050738,0.762475,0.050031,0.52495,0.100062
24447,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.514221,0.097535,0.763293,0.047428,0.765445,0.061243,0.759505,0.085096,0.760457,0.050738,0.762475,0.050031,0.52495,0.100062
