dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
14844,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.59646,0.079695,0.798903,0.039972,0.798327,0.057014,0.799672,0.063346,0.79771,0.040572,0.798999,0.040125,0.597999,0.08025
14844,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.59646,0.079695,0.798903,0.039972,0.798327,0.057014,0.799672,0.063346,0.79771,0.040572,0.798999,0.040125,0.597999,0.08025
14844,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 9, 'classifier__splitter': 'random'}",0.59646,0.079695,0.798903,0.039972,0.798327,0.057014,0.799672,0.063346,0.79771,0.040572,0.798999,0.040125,0.597999,0.08025
16958,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.594463,0.079741,0.797784,0.040335,0.796296,0.059421,0.799806,0.059119,0.796825,0.040132,0.798051,0.039826,0.596102,0.079653
16958,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.594463,0.079741,0.797784,0.040335,0.796296,0.059421,0.799806,0.059119,0.796825,0.040132,0.798051,0.039826,0.596102,0.079653
16958,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.594463,0.079741,0.797784,0.040335,0.796296,0.059421,0.799806,0.059119,0.796825,0.040132,0.798051,0.039826,0.596102,0.079653
16958,decisiontree,"{'classifier__criterion': 'entropy', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 8, 'classifier__splitter': 'random'}",0.594463,0.079741,0.797784,0.040335,0.796296,0.059421,0.799806,0.059119,0.796825,0.040132,0.798051,0.039826,0.596102,0.079653
5046,decisiontree,"{'classifier__criterion': 'gini', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 5, 'classifier__splitter': 'random'}",0.548252,0.085305,0.774031,0.042816,0.767067,0.060611,0.783312,0.065276,0.773753,0.043086,0.775189,0.042808,0.550378,0.085616
24425,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'log2', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.604366,0.081546,0.802988,0.040732,0.803831,0.057362,0.801887,0.062504,0.801642,0.040971,0.802859,0.040775,0.605718,0.081549
24425,decisiontree,"{'classifier__criterion': 'log_loss', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 10, 'classifier__splitter': 'random'}",0.604366,0.081546,0.802988,0.040732,0.803831,0.057362,0.801887,0.062504,0.801642,0.040971,0.802859,0.040775,0.605718,0.081549
