dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
17709,gauss_nb,{'classifier__var_smoothing': 1e-09},0.444444,0.056306,0.675393,0.032477,0.513697,0.051414,0.91509,0.03433,0.684568,0.035835,0.714394,0.029575,0.428788,0.05915
17709,gauss_nb,{'classifier__var_smoothing': 1e-08},0.444444,0.056306,0.675393,0.032477,0.513697,0.051414,0.91509,0.03433,0.684568,0.035835,0.714394,0.029575,0.428788,0.05915
11557,gauss_nb,{'classifier__var_smoothing': 1e-09},0.44982,0.058153,0.681829,0.033174,0.52907,0.052384,0.908276,0.036993,0.692134,0.035887,0.718673,0.030426,0.437346,0.060852
11557,gauss_nb,{'classifier__var_smoothing': 1e-08},0.44982,0.058153,0.681829,0.033174,0.52907,0.052384,0.908276,0.036993,0.692134,0.035887,0.718673,0.030426,0.437346,0.060852
21733,gauss_nb,{'classifier__var_smoothing': 1e-09},0.447372,0.056335,0.671736,0.033175,0.498661,0.05349,0.928311,0.033659,0.679195,0.037339,0.713486,0.029875,0.426972,0.059751
21733,gauss_nb,{'classifier__var_smoothing': 1e-08},0.447372,0.056335,0.671736,0.033175,0.498661,0.05349,0.928311,0.033659,0.679195,0.037339,0.713486,0.029875,0.426972,0.059751
17899,gauss_nb,{'classifier__var_smoothing': 1e-09},0.441296,0.056386,0.673756,0.032315,0.511981,0.051373,0.913576,0.035362,0.682834,0.035569,0.712778,0.029489,0.425556,0.058979
17899,gauss_nb,{'classifier__var_smoothing': 1e-08},0.441296,0.056386,0.673756,0.032315,0.511981,0.051373,0.913576,0.035362,0.682834,0.035569,0.712778,0.029489,0.425556,0.058979
17701,gauss_nb,{'classifier__var_smoothing': 1e-09},0.455999,0.059309,0.687282,0.033762,0.540125,0.052566,0.905426,0.037008,0.698281,0.036169,0.722775,0.031053,0.445551,0.062105
17701,gauss_nb,{'classifier__var_smoothing': 1e-08},0.455999,0.059309,0.687282,0.033762,0.540125,0.052566,0.905426,0.037008,0.698281,0.036169,0.722775,0.031053,0.445551,0.062105
11553,gauss_nb,{'classifier__var_smoothing': 1e-09},0.450642,0.057908,0.682293,0.033032,0.529663,0.052215,0.908549,0.036954,0.692631,0.035741,0.719106,0.030297,0.438212,0.060595
11553,gauss_nb,{'classifier__var_smoothing': 1e-08},0.450642,0.057908,0.682293,0.033032,0.529663,0.052215,0.908549,0.036954,0.692631,0.035741,0.719106,0.030297,0.438212,0.060595
18093,gauss_nb,{'classifier__var_smoothing': 1e-09},0.448872,0.056005,0.6837,0.03211,0.536634,0.051804,0.901704,0.03677,0.694548,0.034477,0.719169,0.029316,0.438338,0.058632
18093,gauss_nb,{'classifier__var_smoothing': 1e-08},0.448872,0.056005,0.6837,0.03211,0.536634,0.051804,0.901704,0.03677,0.694548,0.034477,0.719169,0.029316,0.438338,0.058632
20977,gauss_nb,{'classifier__var_smoothing': 1e-09},0.441227,0.057106,0.674741,0.032673,0.515278,0.051639,0.911129,0.035329,0.684121,0.035881,0.713204,0.02985,0.426407,0.059699
20977,gauss_nb,{'classifier__var_smoothing': 1e-08},0.441227,0.057106,0.674741,0.032673,0.515278,0.051639,0.911129,0.035329,0.684121,0.035881,0.713204,0.02985,0.426407,0.059699
16371,gauss_nb,{'classifier__var_smoothing': 1e-09},0.447859,0.059296,0.686487,0.032862,0.547556,0.05081,0.892437,0.039571,0.698036,0.034827,0.719997,0.03067,0.439993,0.06134
16371,gauss_nb,{'classifier__var_smoothing': 1e-08},0.447859,0.059296,0.686487,0.032862,0.547556,0.05081,0.892437,0.039571,0.698036,0.034827,0.719997,0.03067,0.439993,0.06134
17903,gauss_nb,{'classifier__var_smoothing': 1e-09},0.440507,0.056667,0.673323,0.032524,0.511448,0.051712,0.913288,0.035427,0.682357,0.035834,0.712368,0.029665,0.424736,0.05933
