dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
9077,gauss_nb,{'classifier__var_smoothing': 1e-09},0.480992,0.088977,0.710517,0.048771,0.612863,0.068597,0.879412,0.065765,0.732388,0.048745,0.746138,0.046496,0.492275,0.092991
9077,gauss_nb,{'classifier__var_smoothing': 1e-08},0.480992,0.088977,0.710517,0.048771,0.612863,0.068597,0.879412,0.065765,0.732388,0.048745,0.746138,0.046496,0.492275,0.092991
20397,gauss_nb,{'classifier__var_smoothing': 1e-09},0.476229,0.073784,0.680277,0.046362,0.52827,0.070604,0.943212,0.046532,0.703942,0.049404,0.735741,0.040493,0.471482,0.080986
20397,gauss_nb,{'classifier__var_smoothing': 1e-08},0.476229,0.073784,0.680277,0.046362,0.52827,0.070604,0.943212,0.046532,0.703942,0.049404,0.735741,0.040493,0.471482,0.080986
11575,gauss_nb,{'classifier__var_smoothing': 1e-09},0.46643,0.082275,0.686107,0.047975,0.554169,0.070963,0.914295,0.057315,0.709854,0.049539,0.734232,0.043782,0.468464,0.087564
11575,gauss_nb,{'classifier__var_smoothing': 1e-08},0.46643,0.082275,0.686107,0.047975,0.554169,0.070963,0.914295,0.057315,0.709854,0.049539,0.734232,0.043782,0.468464,0.087564
22141,gauss_nb,{'classifier__var_smoothing': 1e-09},0.486854,0.077387,0.696405,0.046863,0.563862,0.071072,0.92566,0.052242,0.720564,0.0482,0.744761,0.041719,0.489522,0.083438
22141,gauss_nb,{'classifier__var_smoothing': 1e-08},0.486854,0.077387,0.696405,0.046863,0.563862,0.071072,0.92566,0.052242,0.720564,0.0482,0.744761,0.041719,0.489522,0.083438
22135,gauss_nb,{'classifier__var_smoothing': 1e-09},0.488638,0.08185,0.70631,0.047647,0.591238,0.069987,0.905354,0.056353,0.729876,0.048019,0.748296,0.04349,0.496592,0.086979
22135,gauss_nb,{'classifier__var_smoothing': 1e-08},0.488638,0.08185,0.70631,0.047647,0.591238,0.069987,0.905354,0.056353,0.729876,0.048019,0.748296,0.04349,0.496592,0.086979
11193,gauss_nb,{'classifier__var_smoothing': 1e-09},0.480276,0.073446,0.684665,0.045234,0.536797,0.068958,0.940385,0.048984,0.708609,0.047705,0.738591,0.039902,0.477181,0.079804
11193,gauss_nb,{'classifier__var_smoothing': 1e-08},0.480276,0.073446,0.684665,0.045234,0.536797,0.068958,0.940385,0.048984,0.708609,0.047705,0.738591,0.039902,0.477181,0.079804
5029,gauss_nb,{'classifier__var_smoothing': 1e-09},0.477922,0.083536,0.69576,0.048702,0.570911,0.071577,0.911662,0.057697,0.719528,0.049773,0.741286,0.044419,0.482572,0.088837
5029,gauss_nb,{'classifier__var_smoothing': 1e-08},0.477922,0.083536,0.69576,0.048702,0.570911,0.071577,0.911662,0.057697,0.719528,0.049773,0.741286,0.044419,0.482572,0.088837
22127,gauss_nb,{'classifier__var_smoothing': 1e-09},0.479746,0.075656,0.689544,0.046185,0.55123,0.071368,0.928774,0.052746,0.713494,0.047918,0.740002,0.04086,0.480004,0.081721
22127,gauss_nb,{'classifier__var_smoothing': 1e-08},0.479746,0.075656,0.689544,0.046185,0.55123,0.071368,0.928774,0.052746,0.713494,0.047918,0.740002,0.04086,0.480004,0.081721
19835,gauss_nb,{'classifier__var_smoothing': 1e-09},0.478358,0.08102,0.697132,0.047485,0.574489,0.070388,0.909262,0.056059,0.720904,0.048305,0.741875,0.04315,0.48375,0.0863
19835,gauss_nb,{'classifier__var_smoothing': 1e-08},0.478358,0.08102,0.697132,0.047485,0.574489,0.070388,0.909262,0.056059,0.720904,0.048305,0.741875,0.04315,0.48375,0.0863
24055,gauss_nb,{'classifier__var_smoothing': 1e-09},0.486223,0.083701,0.703289,0.047513,0.584709,0.068615,0.908389,0.059567,0.727044,0.048272,0.746549,0.044202,0.493099,0.088405
24055,gauss_nb,{'classifier__var_smoothing': 1e-08},0.486223,0.083701,0.703289,0.047513,0.584709,0.068615,0.908389,0.059567,0.727044,0.048272,0.746549,0.044202,0.493099,0.088405
21541,gauss_nb,{'classifier__var_smoothing': 1e-09},0.465873,0.08198,0.68297,0.04824,0.545579,0.071162,0.920606,0.055475,0.706746,0.0503,0.733093,0.043747,0.466185,0.087495
21541,gauss_nb,{'classifier__var_smoothing': 1e-08},0.465873,0.08198,0.68297,0.04824,0.545579,0.071162,0.920606,0.055475,0.706746,0.0503,0.733093,0.043747,0.466185,0.087495
19053,gauss_nb,{'classifier__var_smoothing': 1e-09},0.477935,0.07515,0.685997,0.046538,0.542661,0.070845,0.933932,0.048484,0.709998,0.048681,0.738296,0.040889,0.476593,0.081777
19053,gauss_nb,{'classifier__var_smoothing': 1e-08},0.477935,0.07515,0.685997,0.046538,0.542661,0.070845,0.933932,0.048484,0.709998,0.048681,0.738296,0.040889,0.476593,0.081777
6773,gauss_nb,{'classifier__var_smoothing': 1e-09},0.467012,0.081944,0.689706,0.047669,0.564061,0.070611,0.906997,0.057454,0.713336,0.048942,0.735529,0.04351,0.471058,0.087019
6773,gauss_nb,{'classifier__var_smoothing': 1e-08},0.467012,0.081944,0.689706,0.047669,0.564061,0.070611,0.906997,0.057454,0.713336,0.048942,0.735529,0.04351,0.471058,0.087019
11559,gauss_nb,{'classifier__var_smoothing': 1e-09},0.479345,0.08308,0.699622,0.047597,0.581057,0.070483,0.904671,0.060807,0.723082,0.04843,0.742864,0.043935,0.485727,0.08787
11559,gauss_nb,{'classifier__var_smoothing': 1e-08},0.479345,0.08308,0.699622,0.047597,0.581057,0.070483,0.904671,0.060807,0.723082,0.04843,0.742864,0.043935,0.485727,0.08787
21949,gauss_nb,{'classifier__var_smoothing': 1e-09},0.480431,0.075429,0.690746,0.04562,0.553808,0.069406,0.927588,0.051617,0.714866,0.047275,0.740698,0.040647,0.481395,0.081293
21949,gauss_nb,{'classifier__var_smoothing': 1e-08},0.480431,0.075429,0.690746,0.04562,0.553808,0.069406,0.927588,0.051617,0.714866,0.047275,0.740698,0.040647,0.481395,0.081293
22701,gauss_nb,{'classifier__var_smoothing': 1e-09},0.479794,0.084514,0.705019,0.048335,0.597299,0.072418,0.891309,0.06315,0.727597,0.048272,0.744304,0.044526,0.488608,0.089052
22701,gauss_nb,{'classifier__var_smoothing': 1e-08},0.479794,0.084514,0.705019,0.048335,0.597299,0.072418,0.891309,0.06315,0.727597,0.048272,0.744304,0.044526,0.488608,0.089052
6769,gauss_nb,{'classifier__var_smoothing': 1e-09},0.466968,0.082527,0.689516,0.047893,0.563553,0.070748,0.907354,0.057845,0.713149,0.04921,0.735454,0.043797,0.470907,0.087593
6769,gauss_nb,{'classifier__var_smoothing': 1e-08},0.466968,0.082527,0.689516,0.047893,0.563553,0.070748,0.907354,0.057845,0.713149,0.04921,0.735454,0.043797,0.470907,0.087593
10017,gauss_nb,{'classifier__var_smoothing': 1e-09},0.469304,0.083613,0.696597,0.047716,0.582516,0.070522,0.893922,0.061209,0.719665,0.048275,0.738219,0.044075,0.476437,0.08815
10017,gauss_nb,{'classifier__var_smoothing': 1e-08},0.469304,0.083613,0.696597,0.047716,0.582516,0.070522,0.893922,0.061209,0.719665,0.048275,0.738219,0.044075,0.476437,0.08815
6585,gauss_nb,{'classifier__var_smoothing': 1e-09},0.464217,0.076191,0.677998,0.046301,0.533076,0.070172,0.928654,0.050737,0.701635,0.0487,0.730865,0.041049,0.461729,0.082097
6585,gauss_nb,{'classifier__var_smoothing': 1e-08},0.464217,0.076191,0.677998,0.046301,0.533076,0.070172,0.928654,0.050737,0.701635,0.0487,0.730865,0.041049,0.461729,0.082097
17909,gauss_nb,{'classifier__var_smoothing': 1e-09},0.476198,0.083601,0.698851,0.047437,0.581877,0.068954,0.901154,0.06023,0.722321,0.048144,0.741516,0.04413,0.483031,0.088261
17909,gauss_nb,{'classifier__var_smoothing': 1e-08},0.476198,0.083601,0.698851,0.047437,0.581877,0.068954,0.901154,0.06023,0.722321,0.048144,0.741516,0.04413,0.483031,0.088261
2727,gauss_nb,{'classifier__var_smoothing': 1e-09},0.476205,0.085111,0.699754,0.048087,0.584563,0.069402,0.898957,0.060872,0.723103,0.048837,0.74176,0.044873,0.48352,0.089747
2727,gauss_nb,{'classifier__var_smoothing': 1e-08},0.476205,0.085111,0.699754,0.048087,0.584563,0.069402,0.898957,0.060872,0.723103,0.048837,0.74176,0.044873,0.48352,0.089747
22513,gauss_nb,{'classifier__var_smoothing': 1e-09},0.469389,0.086071,0.696121,0.048879,0.580804,0.070575,0.895569,0.060769,0.719365,0.049563,0.738187,0.045438,0.476374,0.090876
22513,gauss_nb,{'classifier__var_smoothing': 1e-08},0.469389,0.086071,0.696121,0.048879,0.580804,0.070575,0.895569,0.060769,0.719365,0.049563,0.738187,0.045438,0.476374,0.090876
10021,gauss_nb,{'classifier__var_smoothing': 1e-09},0.469276,0.084238,0.696308,0.047964,0.58167,0.07064,0.894598,0.061714,0.719402,0.048648,0.738134,0.044411,0.476268,0.088821
10021,gauss_nb,{'classifier__var_smoothing': 1e-08},0.469276,0.084238,0.696308,0.047964,0.58167,0.07064,0.894598,0.061714,0.719402,0.048648,0.738134,0.044411,0.476268,0.088821
24039,gauss_nb,{'classifier__var_smoothing': 1e-09},0.497404,0.086895,0.715044,0.049194,0.608586,0.07023,0.899158,0.061028,0.738012,0.04941,0.753872,0.045918,0.507744,0.091837
