dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
13491,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47262,0.080372,0.720107,0.041569,0.628827,0.063389,0.841438,0.059375,0.725846,0.04234,0.735133,0.040601,0.470266,0.081202
13491,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47262,0.080372,0.720107,0.041569,0.628827,0.063389,0.841438,0.059375,0.725846,0.04234,0.735133,0.040601,0.470266,0.081202
22583,gauss_nb,{'classifier__var_smoothing': 1e-09},0.473481,0.08238,0.723067,0.042895,0.642369,0.065478,0.830357,0.059085,0.728771,0.04327,0.736363,0.041675,0.472725,0.083351
22583,gauss_nb,{'classifier__var_smoothing': 1e-08},0.473481,0.08238,0.723067,0.042895,0.642369,0.065478,0.830357,0.059085,0.728771,0.04327,0.736363,0.041675,0.472725,0.083351
15203,gauss_nb,{'classifier__var_smoothing': 1e-09},0.490896,0.078983,0.731346,0.04138,0.648278,0.063751,0.841788,0.05641,0.737265,0.041832,0.745033,0.040122,0.490066,0.080243
15203,gauss_nb,{'classifier__var_smoothing': 1e-08},0.490896,0.078983,0.731346,0.04138,0.648278,0.063751,0.841788,0.05641,0.737265,0.041832,0.745033,0.040122,0.490066,0.080243
17191,gauss_nb,{'classifier__var_smoothing': 1e-09},0.465723,0.080385,0.714903,0.042404,0.616381,0.065583,0.845887,0.05472,0.720547,0.043377,0.731134,0.040798,0.462268,0.081596
17191,gauss_nb,{'classifier__var_smoothing': 1e-08},0.465723,0.080385,0.714903,0.042404,0.616381,0.065583,0.845887,0.05472,0.720547,0.043377,0.731134,0.040798,0.462268,0.081596
15087,gauss_nb,{'classifier__var_smoothing': 1e-09},0.466628,0.083332,0.719837,0.043314,0.639692,0.06458,0.826382,0.058023,0.725608,0.043733,0.733037,0.042182,0.466073,0.084363
15087,gauss_nb,{'classifier__var_smoothing': 1e-08},0.466628,0.083332,0.719837,0.043314,0.639692,0.06458,0.826382,0.058023,0.725608,0.043733,0.733037,0.042182,0.466073,0.084363
6053,gauss_nb,{'classifier__var_smoothing': 1e-09},0.474128,0.082753,0.721072,0.043421,0.630137,0.065382,0.841953,0.055732,0.726938,0.044094,0.736045,0.041993,0.47209,0.083986
6053,gauss_nb,{'classifier__var_smoothing': 1e-08},0.474128,0.082753,0.721072,0.043421,0.630137,0.065382,0.841953,0.055732,0.726938,0.044094,0.736045,0.041993,0.47209,0.083986
19697,gauss_nb,{'classifier__var_smoothing': 1e-09},0.479431,0.08118,0.727026,0.041891,0.650412,0.063286,0.828853,0.06006,0.732715,0.042248,0.739632,0.041024,0.479265,0.082048
19697,gauss_nb,{'classifier__var_smoothing': 1e-08},0.479431,0.08118,0.727026,0.041891,0.650412,0.063286,0.828853,0.06006,0.732715,0.042248,0.739632,0.041024,0.479265,0.082048
19701,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47959,0.081361,0.72709,0.041985,0.650393,0.06338,0.829023,0.060108,0.732777,0.04236,0.739708,0.04112,0.479415,0.082239
19701,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47959,0.081361,0.72709,0.041985,0.650393,0.06338,0.829023,0.060108,0.732777,0.04236,0.739708,0.04112,0.479415,0.082239
17717,gauss_nb,{'classifier__var_smoothing': 1e-09},0.482757,0.078838,0.723191,0.041928,0.623522,0.064992,0.855718,0.053562,0.728969,0.043091,0.73962,0.04025,0.47924,0.080499
17717,gauss_nb,{'classifier__var_smoothing': 1e-08},0.482757,0.078838,0.723191,0.041928,0.623522,0.064992,0.855718,0.053562,0.728969,0.043091,0.73962,0.04025,0.47924,0.080499
24545,gauss_nb,{'classifier__var_smoothing': 1e-09},0.470286,0.084584,0.721779,0.044248,0.642516,0.067585,0.827146,0.059966,0.727363,0.044741,0.734831,0.042926,0.469663,0.085853
24545,gauss_nb,{'classifier__var_smoothing': 1e-08},0.470286,0.084584,0.721779,0.044248,0.642516,0.067585,0.827146,0.059966,0.727363,0.044741,0.734831,0.042926,0.469663,0.085853
20657,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47298,0.080718,0.718096,0.042689,0.617928,0.066361,0.851255,0.055395,0.723695,0.043746,0.734592,0.041049,0.469183,0.082099
20657,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47298,0.080718,0.718096,0.042689,0.617928,0.066361,0.851255,0.055395,0.723695,0.043746,0.734592,0.041049,0.469183,0.082099
18359,gauss_nb,{'classifier__var_smoothing': 1e-09},0.486779,0.082445,0.732959,0.042733,0.666286,0.063822,0.821609,0.059073,0.738438,0.042859,0.743948,0.04173,0.487895,0.083461
18359,gauss_nb,{'classifier__var_smoothing': 1e-08},0.486779,0.082445,0.732959,0.042733,0.666286,0.063822,0.821609,0.059073,0.738438,0.042859,0.743948,0.04173,0.487895,0.083461
16933,gauss_nb,{'classifier__var_smoothing': 1e-09},0.478815,0.076588,0.715829,0.041355,0.596812,0.067393,0.874054,0.052843,0.720538,0.043409,0.735433,0.039246,0.470866,0.078493
16933,gauss_nb,{'classifier__var_smoothing': 1e-08},0.478815,0.076588,0.715829,0.041355,0.596812,0.067393,0.874054,0.052843,0.720538,0.043409,0.735433,0.039246,0.470866,0.078493
11947,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47269,0.077128,0.714839,0.041571,0.602829,0.066452,0.863749,0.051145,0.720022,0.043179,0.733289,0.039489,0.466578,0.078979
11947,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47269,0.077128,0.714839,0.041571,0.602829,0.066452,0.863749,0.051145,0.720022,0.043179,0.733289,0.039489,0.466578,0.078979
11951,gauss_nb,{'classifier__var_smoothing': 1e-09},0.473084,0.077206,0.715049,0.04162,0.603126,0.066588,0.863846,0.051305,0.720232,0.043203,0.733486,0.039532,0.466972,0.079064
11951,gauss_nb,{'classifier__var_smoothing': 1e-08},0.473084,0.077206,0.715049,0.04162,0.603126,0.066588,0.863846,0.051305,0.720232,0.043203,0.733486,0.039532,0.466972,0.079064
24549,gauss_nb,{'classifier__var_smoothing': 1e-09},0.470206,0.084533,0.721674,0.044289,0.642129,0.067816,0.827415,0.059748,0.727255,0.044789,0.734772,0.042916,0.469544,0.085833
24549,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47023,0.084564,0.721684,0.044304,0.642129,0.067816,0.82744,0.059753,0.727267,0.044805,0.734784,0.042932,0.469568,0.085865
7597,gauss_nb,{'classifier__var_smoothing': 1e-09},0.464244,0.0819,0.717488,0.042336,0.63274,0.063988,0.830145,0.059506,0.723207,0.042878,0.731442,0.041347,0.462885,0.082694
7597,gauss_nb,{'classifier__var_smoothing': 1e-08},0.464244,0.0819,0.717488,0.042336,0.63274,0.063988,0.830145,0.059506,0.723207,0.042878,0.731442,0.041347,0.462885,0.082694
24359,gauss_nb,{'classifier__var_smoothing': 1e-09},0.469847,0.085723,0.721568,0.044775,0.642537,0.068421,0.826629,0.060938,0.727099,0.045222,0.734583,0.04345,0.469166,0.0869
24359,gauss_nb,{'classifier__var_smoothing': 1e-08},0.469847,0.085723,0.721568,0.044775,0.642537,0.068421,0.826629,0.060938,0.727099,0.045222,0.734583,0.04345,0.469166,0.0869
9139,gauss_nb,{'classifier__var_smoothing': 1e-09},0.478736,0.083323,0.72376,0.0434,0.634541,0.064965,0.842368,0.058263,0.729608,0.044133,0.738454,0.042231,0.476909,0.084462
9139,gauss_nb,{'classifier__var_smoothing': 1e-08},0.478736,0.083323,0.72376,0.0434,0.634541,0.064965,0.842368,0.058263,0.729608,0.044133,0.738454,0.042231,0.476909,0.084462
6051,gauss_nb,{'classifier__var_smoothing': 1e-09},0.475134,0.081019,0.72106,0.042623,0.627994,0.064771,0.844775,0.054726,0.726928,0.043354,0.736385,0.041143,0.472769,0.082285
6051,gauss_nb,{'classifier__var_smoothing': 1e-08},0.475134,0.081019,0.72106,0.042623,0.627994,0.064771,0.844775,0.054726,0.726928,0.043354,0.736385,0.041143,0.472769,0.082285
5859,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47719,0.081319,0.722769,0.042699,0.632452,0.064642,0.842832,0.055011,0.728683,0.043285,0.737642,0.041256,0.475283,0.082511
5859,gauss_nb,{'classifier__var_smoothing': 1e-08},0.47719,0.081319,0.722769,0.042699,0.632452,0.064642,0.842832,0.055011,0.728683,0.043285,0.737642,0.041256,0.475283,0.082511
5863,gauss_nb,{'classifier__var_smoothing': 1e-09},0.477113,0.081244,0.722758,0.042676,0.632544,0.064633,0.842684,0.05498,0.72867,0.043283,0.737614,0.041229,0.475227,0.082458
5863,gauss_nb,{'classifier__var_smoothing': 1e-08},0.477113,0.081244,0.722758,0.042676,0.632544,0.064633,0.842684,0.05498,0.72867,0.043283,0.737614,0.041229,0.475227,0.082458
7403,gauss_nb,{'classifier__var_smoothing': 1e-09},0.470725,0.081796,0.720885,0.042172,0.636845,0.063871,0.832603,0.060583,0.7266,0.042745,0.734724,0.041294,0.469448,0.082589
7403,gauss_nb,{'classifier__var_smoothing': 1e-08},0.470725,0.081796,0.720885,0.042172,0.636845,0.063871,0.832603,0.060583,0.7266,0.042745,0.734724,0.041294,0.469448,0.082589
7407,gauss_nb,{'classifier__var_smoothing': 1e-09},0.470197,0.082076,0.720599,0.042391,0.636476,0.064276,0.832429,0.060399,0.726308,0.042955,0.734453,0.041451,0.468905,0.082902
7407,gauss_nb,{'classifier__var_smoothing': 1e-08},0.470197,0.082076,0.720599,0.042391,0.636476,0.064276,0.832429,0.060399,0.726308,0.042955,0.734453,0.041451,0.468905,0.082902
24511,gauss_nb,{'classifier__var_smoothing': 1e-09},0.47335,0.082303,0.723616,0.043009,0.645377,0.065419,0.827625,0.058214,0.729313,0.043404,0.736501,0.041752,0.473002,0.083503
