dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
13887,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.653205,0.057565,0.825984,0.029363,0.803639,0.041596,0.859104,0.043313,0.830327,0.029065,0.831372,0.028996,0.662743,0.057991
23102,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.643113,0.059194,0.821448,0.030023,0.801816,0.040887,0.850547,0.043788,0.825273,0.029919,0.826182,0.029858,0.652364,0.059716
23103,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.643113,0.059194,0.821448,0.030023,0.801816,0.040887,0.850547,0.043788,0.825273,0.029919,0.826182,0.029858,0.652364,0.059716
17534,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.648575,0.058021,0.826638,0.029009,0.822615,0.040306,0.832594,0.045812,0.826975,0.02923,0.827605,0.029147,0.655209,0.058294
17535,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.648585,0.058021,0.826645,0.029011,0.822635,0.040322,0.832579,0.04581,0.826977,0.029229,0.827607,0.029146,0.655214,0.058292
20414,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.65487,0.057985,0.828235,0.029372,0.814114,0.04123,0.849166,0.043637,0.830879,0.029149,0.83164,0.029097,0.66328,0.058195
20415,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.65487,0.057985,0.828235,0.029372,0.814114,0.04123,0.849166,0.043637,0.830879,0.029149,0.83164,0.029097,0.66328,0.058195
9084,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.649106,0.057097,0.824272,0.029098,0.803774,0.041106,0.854659,0.042747,0.828261,0.028793,0.829217,0.028728,0.658433,0.057456
9085,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.649095,0.057113,0.824266,0.029106,0.803764,0.041114,0.854659,0.042747,0.828256,0.028801,0.829211,0.028735,0.658423,0.057471
24444,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.647238,0.056828,0.824417,0.028753,0.810165,0.040274,0.845538,0.043576,0.827092,0.028668,0.827852,0.028614,0.655704,0.057227
24445,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.647353,0.056871,0.824478,0.028774,0.810247,0.040281,0.845569,0.043588,0.827149,0.02869,0.827908,0.028636,0.655816,0.057272
23100,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.64968,0.056355,0.823635,0.028873,0.797907,0.040669,0.861778,0.041809,0.828686,0.028564,0.829842,0.028456,0.659685,0.056911
23101,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.64968,0.056355,0.823635,0.028873,0.797907,0.040669,0.861778,0.041809,0.828686,0.028564,0.829842,0.028456,0.659685,0.056911
24254,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.647892,0.057152,0.826619,0.028428,0.824399,0.038556,0.829908,0.045076,0.826583,0.028801,0.827153,0.028745,0.654307,0.057489
24255,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.647882,0.057081,0.826613,0.028395,0.824378,0.038526,0.829923,0.045008,0.826581,0.02876,0.827151,0.028706,0.654301,0.057412
14078,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.648307,0.05713,0.824432,0.028948,0.807295,0.041017,0.849836,0.044035,0.827697,0.028766,0.828565,0.028749,0.657131,0.057497
14079,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.648307,0.05713,0.824432,0.028948,0.807295,0.041017,0.849836,0.044035,0.827697,0.028766,0.828565,0.028749,0.657131,0.057497
14846,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.648605,0.057237,0.824621,0.028986,0.807735,0.041055,0.849653,0.044184,0.827831,0.028815,0.828694,0.0288,0.657388,0.0576
17534,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.648002,0.058717,0.827049,0.029114,0.827839,0.039362,0.825872,0.047295,0.826235,0.029727,0.826855,0.029602,0.653711,0.059204
17535,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.648061,0.058602,0.827079,0.029058,0.82788,0.039333,0.825887,0.047262,0.826263,0.02967,0.826883,0.029545,0.653767,0.059089
2942,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.649877,0.057628,0.826334,0.029027,0.815936,0.040625,0.841745,0.044588,0.828146,0.029011,0.82884,0.028961,0.657681,0.057921
2943,knn,"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.649861,0.057591,0.826328,0.029006,0.815936,0.040586,0.841729,0.044573,0.82814,0.028994,0.828833,0.028943,0.657666,0.057887
8318,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.638521,0.059259,0.821321,0.029738,0.815278,0.041151,0.830276,0.046063,0.82212,0.029865,0.822777,0.029797,0.645554,0.059595
8319,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.638521,0.059259,0.821321,0.029738,0.815278,0.041151,0.830276,0.046063,0.82212,0.029865,0.822777,0.029797,0.645554,0.059595
14460,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.653845,0.055372,0.82643,0.028319,0.804634,0.040655,0.858738,0.04166,0.83069,0.027936,0.831686,0.027852,0.663372,0.055703
14461,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.653845,0.055372,0.82643,0.028319,0.804634,0.040655,0.858738,0.04166,0.83069,0.027936,0.831686,0.027852,0.663372,0.055703
