dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
15228,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.598645,0.08297,0.790813,0.044066,0.74041,0.060798,0.878014,0.06239,0.805037,0.0432,0.809212,0.042751,0.618424,0.085502
15229,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.598645,0.08297,0.790813,0.044066,0.74041,0.060798,0.878014,0.06239,0.805037,0.0432,0.809212,0.042751,0.618424,0.085502
18494,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.594301,0.080773,0.783454,0.045227,0.718959,0.065554,0.895035,0.057227,0.800836,0.043613,0.806997,0.042026,0.613995,0.084052
18495,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.594301,0.080773,0.783454,0.045227,0.718959,0.065554,0.895035,0.057227,0.800836,0.043613,0.806997,0.042026,0.613995,0.084052
19262,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.594153,0.080675,0.78341,0.045166,0.719004,0.065505,0.894837,0.057287,0.80077,0.043561,0.806921,0.041979,0.613841,0.083958
19263,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.594153,0.080675,0.78341,0.045166,0.719004,0.065505,0.894837,0.057287,0.80077,0.043561,0.806921,0.041979,0.613841,0.083958
8510,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.602895,0.083609,0.79633,0.043845,0.756251,0.060432,0.865682,0.065428,0.807794,0.043447,0.810966,0.043085,0.621932,0.08617
8511,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.602895,0.083609,0.79633,0.043845,0.756251,0.060432,0.865682,0.065428,0.807794,0.043447,0.810966,0.043085,0.621932,0.08617
20220,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.610035,0.082144,0.79776,0.043757,0.750682,0.061,0.879191,0.061876,0.811147,0.042791,0.814937,0.042265,0.629873,0.08453
20221,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.610035,0.082144,0.79776,0.043757,0.750682,0.061,0.879191,0.061876,0.811147,0.042791,0.814937,0.042265,0.629873,0.08453
20988,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609844,0.082015,0.797687,0.043715,0.750683,0.060998,0.878989,0.061794,0.811054,0.04274,0.814836,0.042207,0.629672,0.084415
20989,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609844,0.082015,0.797687,0.043715,0.750683,0.060998,0.878989,0.061794,0.811054,0.04274,0.814836,0.042207,0.629672,0.084415
10430,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.609446,0.083001,0.793674,0.045446,0.735652,0.064277,0.894055,0.058688,0.809734,0.043951,0.814854,0.042867,0.629708,0.085734
10431,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.609319,0.082841,0.793601,0.045336,0.735538,0.064072,0.894055,0.058824,0.809672,0.043892,0.814797,0.042819,0.629593,0.085637
14462,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607092,0.083257,0.798315,0.04381,0.757857,0.061234,0.868286,0.064269,0.809866,0.043075,0.813071,0.042675,0.626143,0.085351
14463,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607092,0.083257,0.798315,0.04381,0.757857,0.061234,0.868286,0.064269,0.809866,0.043075,0.813071,0.042675,0.626143,0.085351
15230,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607062,0.082922,0.798373,0.043601,0.758133,0.06099,0.867968,0.064361,0.809863,0.042917,0.81305,0.042522,0.6261,0.085044
15231,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607062,0.082922,0.798373,0.043601,0.758133,0.06099,0.867968,0.064361,0.809863,0.042917,0.81305,0.042522,0.6261,0.085044
18492,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.59862,0.081455,0.785182,0.046018,0.71952,0.067213,0.898803,0.05605,0.802817,0.043958,0.809162,0.042253,0.618323,0.084506
18493,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.59862,0.081455,0.785182,0.046018,0.71952,0.067213,0.898803,0.05605,0.802817,0.043958,0.809162,0.042253,0.618323,0.084506
19260,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.598471,0.081624,0.785109,0.046156,0.719476,0.067437,0.898683,0.056019,0.802734,0.044076,0.809079,0.042344,0.618159,0.084689
19261,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.598471,0.081624,0.785109,0.046156,0.719476,0.067437,0.898683,0.056019,0.802734,0.044076,0.809079,0.042344,0.618159,0.084689
21756,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.612591,0.077872,0.790918,0.044334,0.720919,0.064854,0.912023,0.053288,0.80961,0.04248,0.816471,0.040621,0.632942,0.081242
21757,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.612591,0.077872,0.790918,0.044334,0.720919,0.064854,0.912023,0.053288,0.80961,0.04248,0.816471,0.040621,0.632942,0.081242
22524,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.612632,0.077886,0.790948,0.044345,0.720966,0.06485,0.912022,0.053233,0.809637,0.042486,0.816494,0.040625,0.632988,0.081251
22525,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.612632,0.077886,0.790948,0.044345,0.720966,0.06485,0.912022,0.053233,0.809637,0.042486,0.816494,0.040625,0.632988,0.081251
22142,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609847,0.082553,0.794692,0.045169,0.738948,0.06389,0.891158,0.058647,0.810236,0.043733,0.815053,0.042643,0.630106,0.085287
22143,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.60972,0.082474,0.794619,0.045137,0.738855,0.063892,0.891118,0.058613,0.810166,0.043697,0.814987,0.042603,0.629973,0.085206
22910,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.60959,0.082499,0.79462,0.045148,0.739064,0.063933,0.89076,0.058723,0.810113,0.043705,0.814912,0.042617,0.629824,0.085233
22911,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609462,0.08242,0.794547,0.045116,0.738971,0.063935,0.89072,0.05869,0.810042,0.043668,0.814845,0.042576,0.629691,0.085152
20798,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.603606,0.082239,0.794562,0.043457,0.747594,0.059784,0.875788,0.062721,0.807924,0.042868,0.811691,0.042425,0.623381,0.084849
20799,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.603606,0.082239,0.794562,0.043457,0.747594,0.059784,0.875788,0.062721,0.807924,0.042868,0.811691,0.042425,0.623381,0.084849
20414,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.611976,0.079933,0.797815,0.042876,0.747773,0.060368,0.884354,0.05991,0.811986,0.04182,0.816063,0.041179,0.632127,0.082358
20415,knn,"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.612,0.079961,0.797829,0.042893,0.747796,0.060389,0.884354,0.05991,0.811999,0.041835,0.816075,0.041192,0.63215,0.082385
10622,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.608969,0.083019,0.798018,0.043886,0.753726,0.061805,0.874648,0.064165,0.810588,0.043029,0.814187,0.042596,0.628373,0.085192
10623,knn,"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.608927,0.083032,0.798003,0.043889,0.753725,0.061781,0.874608,0.064149,0.810571,0.043035,0.814166,0.042603,0.628333,0.085207
2168,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.600071,0.078952,0.786783,0.043704,0.722965,0.06287,0.897163,0.057144,0.804104,0.042313,0.810064,0.041018,0.620128,0.082035
2169,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.600071,0.078952,0.786783,0.043704,0.722965,0.06287,0.897163,0.057144,0.804104,0.042313,0.810064,0.041018,0.620128,0.082035
2936,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.599888,0.079053,0.786697,0.043784,0.722897,0.062963,0.897045,0.057083,0.804013,0.042387,0.809971,0.041076,0.619942,0.082151
2937,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.599888,0.079053,0.786697,0.043784,0.722897,0.062963,0.897045,0.057083,0.804013,0.042387,0.809971,0.041076,0.619942,0.082151
20796,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.596289,0.08306,0.788946,0.044951,0.736849,0.063451,0.879065,0.061435,0.803495,0.043743,0.807957,0.042893,0.615914,0.085786
20797,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.596289,0.08306,0.788946,0.044951,0.736849,0.063451,0.879065,0.061435,0.803495,0.043743,0.807957,0.042893,0.615914,0.085786
20604,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.608364,0.083331,0.799237,0.043648,0.759518,0.060227,0.867975,0.064814,0.810638,0.043179,0.813747,0.042833,0.627493,0.085665
20605,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.608364,0.083331,0.799237,0.043648,0.759518,0.060227,0.867975,0.064814,0.810638,0.043179,0.813747,0.042833,0.627493,0.085665
638,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.602495,0.078283,0.784046,0.044687,0.709875,0.065368,0.912365,0.053818,0.803481,0.043033,0.81112,0.040953,0.622239,0.081905
639,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.602495,0.078283,0.784046,0.044687,0.709875,0.065368,0.912365,0.053818,0.803481,0.043033,0.81112,0.040953,0.622239,0.081905
13886,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607895,0.082545,0.798991,0.04346,0.759051,0.059868,0.868085,0.062914,0.810503,0.042834,0.813568,0.042432,0.627135,0.084864
13887,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607895,0.082545,0.798991,0.04346,0.759051,0.059868,0.868085,0.062914,0.810503,0.042834,0.813568,0.042432,0.627135,0.084864
2366,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607376,0.082508,0.798773,0.043463,0.759004,0.059992,0.867566,0.06293,0.810228,0.042821,0.813285,0.042406,0.62657,0.084813
2367,knn,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607376,0.082508,0.798773,0.043463,0.759004,0.059992,0.867566,0.06293,0.810228,0.042821,0.813285,0.042406,0.62657,0.084813
254,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.59689,0.079108,0.783683,0.044124,0.716275,0.064396,0.900322,0.057783,0.801688,0.042629,0.808298,0.041147,0.616597,0.082295
255,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.59689,0.079108,0.783683,0.044124,0.716275,0.064396,0.900322,0.057783,0.801688,0.042629,0.808298,0.041147,0.616597,0.082295
7932,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607241,0.08154,0.796465,0.043485,0.749879,0.061121,0.877042,0.062348,0.809678,0.042565,0.81346,0.041994,0.626921,0.083987
7933,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607264,0.081526,0.79648,0.043478,0.749902,0.061116,0.877042,0.062348,0.80969,0.042559,0.813472,0.041987,0.626943,0.083974
8700,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.607187,0.081453,0.796407,0.043475,0.74974,0.061189,0.877126,0.062286,0.80964,0.042539,0.813433,0.041956,0.626867,0.083912
8701,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.60721,0.081439,0.796422,0.043468,0.749763,0.061185,0.877126,0.062286,0.809652,0.042532,0.813445,0.04195,0.626889,0.083899
21950,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609194,0.082915,0.7937,0.045558,0.736059,0.06422,0.893468,0.057874,0.809718,0.044057,0.814763,0.042875,0.629527,0.08575
21951,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.609127,0.082822,0.793656,0.045503,0.735989,0.064174,0.893468,0.057874,0.809679,0.044004,0.814729,0.042826,0.629457,0.085651
