dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
12158,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.693768,0.071231,0.848862,0.035023,0.864912,0.045832,0.82756,0.056797,0.845196,0.036113,0.846236,0.035752,0.692472,0.071504
12159,knn,"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.693849,0.071275,0.848904,0.035046,0.864986,0.045841,0.82756,0.056797,0.845233,0.036136,0.846273,0.035775,0.692547,0.071549
21182,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.688936,0.070055,0.845611,0.034818,0.849395,0.048087,0.840602,0.054317,0.844149,0.035231,0.844998,0.035049,0.689997,0.070098
21183,knn,"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.688936,0.070055,0.845611,0.034818,0.849395,0.048087,0.840602,0.054317,0.844149,0.035231,0.844998,0.035049,0.689997,0.070098
21370,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.687119,0.069904,0.844398,0.034858,0.844333,0.04838,0.844507,0.053927,0.843584,0.035203,0.84442,0.035015,0.68884,0.07003
21370,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.687524,0.069931,0.84465,0.034855,0.845221,0.048344,0.84392,0.053976,0.843734,0.035192,0.84457,0.03502,0.68914,0.070039
21371,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.687119,0.069904,0.844398,0.034858,0.844333,0.04838,0.844507,0.053927,0.843584,0.035203,0.84442,0.035015,0.68884,0.07003
21371,knn,"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.687524,0.069931,0.84465,0.034855,0.845221,0.048344,0.84392,0.053976,0.843734,0.035192,0.84457,0.03502,0.68914,0.070039
11964,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.687125,0.068889,0.844071,0.034485,0.839806,0.047979,0.84976,0.052213,0.843978,0.03469,0.844783,0.034518,0.689566,0.069036
11965,knn,"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.687106,0.0689,0.844061,0.03449,0.839788,0.047985,0.84976,0.052213,0.843969,0.034694,0.844774,0.034523,0.689548,0.069046
