dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7712,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.666559,0.058171,0.838208,0.028269,0.856007,0.036581,0.811813,0.048901,0.833003,0.029765,0.83391,0.029385,0.667821,0.058771
15205,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.668946,0.056696,0.83968,0.027425,0.861057,0.036062,0.807978,0.049271,0.833454,0.029142,0.834518,0.028672,0.669036,0.057344
1767,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 125}",0.666985,0.056357,0.838429,0.02734,0.856366,0.035812,0.81184,0.048622,0.833187,0.028918,0.834103,0.028533,0.668206,0.057066
2340,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.667603,0.056129,0.838895,0.027302,0.859021,0.036735,0.809054,0.048382,0.833024,0.02871,0.834038,0.028321,0.668076,0.056642
7905,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.667204,0.058389,0.838329,0.028369,0.854142,0.036657,0.814881,0.04904,0.833666,0.029837,0.834512,0.029494,0.669023,0.058988
20965,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.66617,0.05644,0.838176,0.027305,0.857723,0.03563,0.809193,0.049277,0.832471,0.02906,0.833458,0.028614,0.666916,0.057228
230,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 50}",0.657723,0.057845,0.83405,0.028052,0.853701,0.036346,0.804919,0.049615,0.828312,0.02975,0.82931,0.029298,0.65862,0.058596
1574,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.669358,0.057006,0.839675,0.027694,0.858597,0.036284,0.811622,0.048659,0.834159,0.029238,0.83511,0.028819,0.670219,0.057637
20197,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.663498,0.057238,0.836546,0.027822,0.853056,0.036905,0.812064,0.049262,0.831659,0.029308,0.83256,0.028933,0.66512,0.057865
17123,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 175}",0.665576,0.057959,0.837852,0.028003,0.856924,0.03571,0.809568,0.050473,0.832266,0.029944,0.833246,0.029465,0.666493,0.05893
