dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
10037,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.614616,0.091209,0.816165,0.043275,0.832048,0.053906,0.788655,0.08164,0.808399,0.047768,0.810352,0.046784,0.620703,0.093568
12708,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.604815,0.09155,0.812318,0.043018,0.833512,0.053775,0.775643,0.08456,0.802216,0.048791,0.804578,0.047139,0.609155,0.094278
5049,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 125}",0.600322,0.093366,0.808749,0.044832,0.822177,0.055366,0.785529,0.078608,0.802129,0.048216,0.803853,0.047506,0.607706,0.095012
3324,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.616138,0.089676,0.816045,0.042857,0.82718,0.053662,0.796778,0.079589,0.810252,0.046908,0.811979,0.046025,0.623958,0.092049
16382,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 50}",0.614095,0.09021,0.815058,0.043027,0.826438,0.054035,0.795355,0.080453,0.809116,0.047242,0.810897,0.046284,0.621794,0.092568
9661,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.615855,0.091301,0.816992,0.043319,0.833882,0.053504,0.78774,0.081485,0.80884,0.048027,0.810811,0.046893,0.621622,0.093787
10995,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.604191,0.093141,0.810971,0.044031,0.826149,0.054091,0.784682,0.08365,0.803421,0.04902,0.805415,0.047887,0.610831,0.095774
13675,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 125}",0.614881,0.091883,0.815635,0.044159,0.828065,0.055538,0.794114,0.080031,0.809287,0.048091,0.811089,0.047036,0.622179,0.094071
16189,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.61744,0.089621,0.816657,0.042759,0.8278,0.053814,0.797394,0.080382,0.810827,0.046973,0.812597,0.046057,0.625194,0.092114
19054,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 150}",0.616264,0.091288,0.815785,0.043929,0.825031,0.05465,0.799737,0.078264,0.810775,0.047494,0.812384,0.046689,0.624768,0.093378
