dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
11758,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 50}",0.702654,0.07029,0.853934,0.034212,0.89024,0.04274,0.805676,0.059323,0.846033,0.036374,0.847958,0.035521,0.695916,0.071042
18296,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.706578,0.068027,0.85593,0.033101,0.896182,0.040862,0.802429,0.058361,0.847175,0.035529,0.849306,0.034516,0.698611,0.069032
5180,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}",0.708203,0.067996,0.856706,0.033029,0.90158,0.040522,0.797064,0.059165,0.846854,0.035712,0.849322,0.034576,0.698644,0.069152
11066,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.702129,0.068022,0.853713,0.033064,0.898238,0.041541,0.794548,0.059538,0.843902,0.035695,0.846393,0.034544,0.692786,0.069087
24429,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.70483,0.067803,0.855073,0.032965,0.892651,0.040735,0.805134,0.057774,0.846949,0.035198,0.848892,0.034334,0.697784,0.068669
24037,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.701266,0.068066,0.853217,0.033202,0.888717,0.042546,0.806043,0.059043,0.845474,0.035414,0.84738,0.034528,0.69476,0.069055
4643,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 50}",0.699766,0.068344,0.852397,0.033334,0.88461,0.042918,0.809584,0.059879,0.845339,0.035555,0.847097,0.034704,0.694194,0.069409
20600,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.707421,0.06774,0.856309,0.032951,0.894081,0.041615,0.806112,0.057097,0.848142,0.034983,0.850096,0.034174,0.700193,0.068348
3127,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 125}",0.707199,0.067682,0.855999,0.033079,0.888604,0.044321,0.812666,0.05747,0.848891,0.034751,0.850635,0.034047,0.70127,0.068094
24424,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.709535,0.06837,0.85734,0.033313,0.894849,0.041347,0.807491,0.058175,0.849219,0.03557,0.85117,0.034662,0.70234,0.069324
8313,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.705826,0.068126,0.855494,0.033172,0.892487,0.042788,0.806338,0.056235,0.847507,0.034902,0.849413,0.034178,0.698826,0.068357
21371,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.705982,0.06903,0.855612,0.03357,0.893486,0.041992,0.805276,0.057457,0.847422,0.035571,0.849381,0.034773,0.698762,0.069547
21371,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.705701,0.06879,0.855474,0.03344,0.893376,0.042002,0.805102,0.057183,0.847281,0.0354,0.849239,0.034621,0.698478,0.069243
4984,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 75}",0.696701,0.070283,0.851109,0.034186,0.893652,0.042171,0.79456,0.059853,0.841767,0.036674,0.844106,0.035611,0.688212,0.071222
9142,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.705329,0.068954,0.8553,0.033483,0.895053,0.041166,0.802474,0.059059,0.846652,0.035871,0.848763,0.034939,0.697527,0.069877
17327,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.709359,0.068137,0.857222,0.033157,0.894866,0.041788,0.807179,0.058299,0.849041,0.035365,0.851022,0.034471,0.702044,0.068943
4984,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 125}",0.70475,0.069591,0.855032,0.033807,0.898193,0.04151,0.797648,0.059254,0.845573,0.036276,0.847921,0.035243,0.695841,0.070486
22394,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.699626,0.068867,0.852401,0.033446,0.893983,0.043354,0.797142,0.06044,0.84321,0.03589,0.845563,0.034834,0.691125,0.069667
4991,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.707202,0.068705,0.856214,0.033408,0.899378,0.041601,0.798839,0.058294,0.846777,0.035723,0.849108,0.034737,0.698217,0.069474
17327,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.711661,0.068251,0.858384,0.033213,0.895791,0.041278,0.808665,0.057466,0.850307,0.035343,0.852228,0.034495,0.704456,0.06899
