dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
13345,svm_poly,"{'classifier__C': 10, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.674159,0.055914,0.839351,0.027671,0.834475,0.036823,0.846566,0.045168,0.83996,0.028336,0.84052,0.028257,0.68104,0.056514
12576,svm_poly,"{'classifier__C': 10, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.674177,0.055915,0.839363,0.027665,0.834496,0.036761,0.846566,0.045158,0.839973,0.028339,0.840531,0.02826,0.681062,0.05652
12577,svm_poly,"{'classifier__C': 10, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.674207,0.055898,0.839375,0.027659,0.834496,0.036773,0.846596,0.045159,0.839987,0.028331,0.840546,0.028251,0.681092,0.056503
13625,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.689387,0.054809,0.846194,0.0274,0.836172,0.037483,0.86104,0.043071,0.848002,0.027658,0.848606,0.027604,0.697212,0.055208
13016,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.681241,0.05545,0.841214,0.028013,0.825314,0.038947,0.864775,0.042012,0.8443,0.02792,0.845044,0.027862,0.690089,0.055725
13016,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.681285,0.055434,0.841239,0.028002,0.825355,0.038929,0.864775,0.042012,0.844321,0.02791,0.845065,0.027854,0.690129,0.055708
13017,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.681265,0.055459,0.841226,0.028019,0.825334,0.038969,0.864775,0.042012,0.84431,0.027923,0.845054,0.027866,0.690109,0.055731
13017,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.681286,0.055448,0.841239,0.028011,0.825355,0.038951,0.864775,0.042012,0.844321,0.027917,0.845065,0.02786,0.690129,0.05572
13394,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.678075,0.056858,0.839651,0.028566,0.824119,0.039429,0.862669,0.044417,0.842613,0.028709,0.843394,0.028659,0.686788,0.057318
13395,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.678069,0.056786,0.839669,0.02854,0.824262,0.039426,0.862503,0.044288,0.842607,0.028671,0.843382,0.028617,0.686765,0.057235
12627,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.678118,0.056892,0.839675,0.028578,0.824139,0.039371,0.8627,0.044337,0.842643,0.028718,0.84342,0.028671,0.686839,0.057343
10130,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.677011,0.056243,0.839278,0.028241,0.824571,0.038762,0.861072,0.043686,0.842087,0.028378,0.842822,0.028341,0.685643,0.056683
10131,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.676999,0.056246,0.839266,0.028249,0.82453,0.038807,0.861103,0.043688,0.84208,0.028381,0.842816,0.028342,0.685632,0.056684
13046,svm_poly,"{'classifier__C': 1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.686219,0.054986,0.84407,0.027622,0.830504,0.038176,0.864169,0.042988,0.846645,0.027774,0.847337,0.027712,0.694673,0.055424
13046,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.686193,0.054973,0.844057,0.027612,0.830494,0.038157,0.864154,0.043001,0.846632,0.027768,0.847324,0.027706,0.694648,0.055413
13047,svm_poly,"{'classifier__C': 1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.686219,0.054986,0.84407,0.027622,0.830504,0.038176,0.864169,0.042988,0.846645,0.027774,0.847337,0.027712,0.694673,0.055424
13047,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.686193,0.054973,0.844057,0.027612,0.830494,0.038157,0.864154,0.043001,0.846632,0.027768,0.847324,0.027706,0.694648,0.055413
13814,svm_poly,"{'classifier__C': 1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.686181,0.055027,0.844051,0.027643,0.830494,0.038207,0.864139,0.042999,0.846624,0.027792,0.847316,0.02773,0.694632,0.055461
13814,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.686155,0.055014,0.844039,0.027633,0.830484,0.038181,0.864124,0.043018,0.846612,0.027787,0.847304,0.027726,0.694607,0.055451
13815,svm_poly,"{'classifier__C': 1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.686192,0.055009,0.844057,0.027632,0.830504,0.03819,0.864139,0.042999,0.84663,0.027783,0.847321,0.027722,0.694643,0.055443
13815,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.686155,0.055014,0.844039,0.027633,0.830484,0.038181,0.864124,0.043018,0.846612,0.027787,0.847304,0.027726,0.694607,0.055451
9362,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.67701,0.056273,0.839278,0.028256,0.824571,0.038767,0.861072,0.04366,0.842088,0.028388,0.842822,0.028352,0.685643,0.056705
9363,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.677016,0.056251,0.839278,0.02825,0.82456,0.038798,0.861088,0.043663,0.842089,0.028379,0.842824,0.028341,0.685648,0.056683
13809,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.68198,0.054186,0.841466,0.027431,0.824916,0.038807,0.86599,0.042107,0.844672,0.027383,0.845453,0.027298,0.690907,0.054596
15888,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.679797,0.05669,0.840593,0.028421,0.825531,0.039035,0.862909,0.044936,0.843448,0.028684,0.84422,0.028642,0.68844,0.057285
15888,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.679819,0.056672,0.840605,0.02841,0.825551,0.039019,0.862909,0.044936,0.843459,0.028676,0.84423,0.028634,0.68846,0.057269
15889,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.679848,0.056761,0.840617,0.028459,0.825561,0.039095,0.862924,0.044959,0.84347,0.028716,0.844243,0.028675,0.688486,0.05735
15889,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.679857,0.056733,0.840623,0.028443,0.825572,0.039065,0.862924,0.044959,0.843476,0.028704,0.844248,0.028663,0.688496,0.057326
16656,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.679766,0.056622,0.840574,0.028394,0.8255,0.039041,0.862909,0.04489,0.843432,0.02865,0.844205,0.028608,0.688409,0.057216
16656,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.679768,0.056623,0.840574,0.028394,0.82549,0.039028,0.862924,0.044878,0.843435,0.02865,0.844207,0.028608,0.688414,0.057217
16657,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.679806,0.056679,0.840593,0.028423,0.82551,0.039069,0.862939,0.044921,0.843452,0.028678,0.844225,0.028636,0.68845,0.057273
16657,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.679806,0.056679,0.840593,0.028423,0.82551,0.039069,0.862939,0.044921,0.843452,0.028678,0.844225,0.028636,0.68845,0.057273
13042,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.680114,0.054574,0.840311,0.02772,0.822502,0.039503,0.866702,0.042031,0.843771,0.027569,0.844602,0.02747,0.689204,0.05494
13042,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.680123,0.054564,0.840318,0.027717,0.822522,0.039518,0.866687,0.042035,0.843774,0.027563,0.844605,0.027464,0.689209,0.054928
