dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
19382,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.673943,0.083314,0.837745,0.04181,0.8169,0.055878,0.873803,0.067879,0.843641,0.042577,0.845351,0.042414,0.690703,0.084828
19383,svm_poly,"{'classifier__C': 1, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.673805,0.083582,0.837861,0.041927,0.817819,0.056064,0.872525,0.068105,0.843487,0.04271,0.845172,0.042531,0.690344,0.085063
19383,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.673968,0.083317,0.83776,0.041812,0.816923,0.055882,0.873803,0.067879,0.843653,0.042579,0.845363,0.042416,0.690726,0.084832
6634,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.659265,0.083639,0.831814,0.041709,0.816592,0.055068,0.858098,0.06926,0.83583,0.042976,0.837345,0.04276,0.67469,0.085521
6635,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.659447,0.083709,0.83193,0.041741,0.816799,0.05502,0.858062,0.069162,0.835925,0.042994,0.83743,0.042786,0.67486,0.085572
7402,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.6593,0.083631,0.831828,0.04171,0.816592,0.055068,0.858138,0.069214,0.835851,0.04297,0.837365,0.042753,0.67473,0.085506
7403,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.659537,0.083784,0.831974,0.041763,0.816821,0.054978,0.85814,0.06921,0.835977,0.043032,0.837481,0.042827,0.674961,0.085655
3179,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.666668,0.081555,0.835632,0.040568,0.82074,0.053576,0.861369,0.067482,0.839622,0.041748,0.841055,0.041596,0.682109,0.083193
3770,svm_poly,"{'classifier__C': 100, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661369,0.085715,0.835554,0.041927,0.83236,0.053385,0.841071,0.071175,0.835465,0.043939,0.836715,0.043682,0.673431,0.087364
3771,svm_poly,"{'classifier__C': 100, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661442,0.085584,0.835597,0.041858,0.832429,0.05332,0.841069,0.071116,0.8355,0.043873,0.836749,0.043617,0.673498,0.087233
3946,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.666243,0.081854,0.835414,0.040684,0.820489,0.053565,0.861211,0.067779,0.839413,0.041927,0.84085,0.041771,0.6817,0.083541
4538,svm_poly,"{'classifier__C': 100, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661321,0.085702,0.835539,0.041918,0.832383,0.053365,0.840991,0.071177,0.835437,0.043939,0.836687,0.043678,0.673373,0.087357
4539,svm_poly,"{'classifier__C': 100, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661482,0.085563,0.835626,0.041852,0.832497,0.053314,0.841029,0.07106,0.835516,0.043861,0.836763,0.043602,0.673527,0.087204
