dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
4347,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.690501,0.0694,0.846155,0.03452,0.846141,0.046737,0.846174,0.053842,0.845366,0.035038,0.846157,0.034866,0.692315,0.069732
17328,svm_poly,"{'classifier__C': 100, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.698085,0.07028,0.85031,0.034806,0.854829,0.04585,0.844317,0.054315,0.848795,0.035476,0.849573,0.035289,0.699146,0.070578
24046,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.702421,0.07004,0.853506,0.034334,0.877546,0.044139,0.821568,0.057274,0.848267,0.035794,0.849557,0.035278,0.699114,0.070557
24047,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.702522,0.070095,0.853559,0.034359,0.877584,0.044094,0.821641,0.057246,0.848327,0.035817,0.849612,0.035305,0.699225,0.070611
5416,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.701827,0.067779,0.852372,0.033564,0.860809,0.046162,0.841182,0.053732,0.850132,0.03419,0.850996,0.033949,0.701991,0.067898
5417,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.701847,0.067826,0.852382,0.033592,0.860828,0.046192,0.841182,0.05373,0.850142,0.034217,0.851005,0.033974,0.70201,0.067948
14254,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.700938,0.069072,0.851837,0.034172,0.858256,0.045637,0.843331,0.05427,0.84998,0.034889,0.850793,0.034662,0.701587,0.069325
14255,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.70114,0.069061,0.851932,0.034178,0.858274,0.045713,0.843526,0.054148,0.850089,0.034874,0.8509,0.034648,0.7018,0.069296
18097,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.6968,0.069541,0.849507,0.034494,0.852369,0.046533,0.845705,0.054055,0.848241,0.035044,0.849037,0.034873,0.698074,0.069746
5038,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.707763,0.068235,0.856257,0.033354,0.882541,0.042253,0.821347,0.056512,0.850605,0.035,0.851944,0.034429,0.703888,0.068857
5039,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.707763,0.068235,0.856257,0.033354,0.882541,0.042253,0.821347,0.056512,0.850605,0.035,0.851944,0.034429,0.703888,0.068857
8823,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.707709,0.06669,0.854035,0.033408,0.846429,0.046865,0.864155,0.050849,0.854496,0.033563,0.855292,0.033437,0.710583,0.066875
8823,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.70775,0.066657,0.854056,0.033391,0.846447,0.046842,0.864179,0.050826,0.854518,0.033545,0.855313,0.03342,0.710626,0.06684
8823,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.707754,0.066698,0.854056,0.033414,0.846429,0.046865,0.864204,0.050825,0.854522,0.033566,0.855316,0.033441,0.710633,0.066881
14254,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.702102,0.068904,0.852309,0.034143,0.857258,0.04588,0.845759,0.053623,0.850719,0.034748,0.851508,0.034546,0.703017,0.069092
14254,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.702102,0.068904,0.852309,0.034143,0.857258,0.04588,0.845759,0.053623,0.850719,0.034748,0.851508,0.034546,0.703017,0.069092
14255,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.702127,0.06894,0.85232,0.034168,0.857259,0.04593,0.845783,0.053621,0.850731,0.034769,0.851521,0.034565,0.703042,0.069129
14255,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.701963,0.069033,0.852236,0.034213,0.85711,0.045947,0.845783,0.053645,0.850658,0.034815,0.851447,0.034611,0.702893,0.069222
14255,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.702127,0.06894,0.85232,0.034168,0.857259,0.04593,0.845783,0.053621,0.850731,0.034769,0.851521,0.034565,0.703042,0.069129
1966,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.702882,0.068571,0.852762,0.033996,0.858528,0.045875,0.84512,0.0531,0.851036,0.034552,0.851824,0.034345,0.703647,0.068689
2926,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.701666,0.068481,0.85213,0.033964,0.857586,0.045901,0.844898,0.053447,0.850444,0.034569,0.851242,0.034344,0.702484,0.068688
2548,svm_poly,"{'classifier__C': 50, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.703469,0.070284,0.852268,0.034982,0.848365,0.046847,0.857479,0.053828,0.852142,0.035439,0.852922,0.035303,0.705844,0.070606
18100,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.699739,0.069798,0.851046,0.03459,0.854907,0.046347,0.845927,0.054291,0.849621,0.03519,0.850417,0.035012,0.700835,0.070024
4539,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.691429,0.069327,0.846682,0.034441,0.847306,0.046318,0.84585,0.05402,0.845792,0.035026,0.846578,0.034853,0.693156,0.069705
11188,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.699081,0.069938,0.850979,0.034548,0.858158,0.045727,0.841452,0.05454,0.848988,0.035267,0.849805,0.035062,0.69961,0.070125
11188,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.699081,0.069839,0.850979,0.034503,0.85814,0.045711,0.841477,0.054415,0.848994,0.035209,0.849808,0.035007,0.699617,0.070013
10794,svm_poly,"{'classifier__C': 10, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.701739,0.068628,0.852184,0.033985,0.857945,0.045849,0.844545,0.05372,0.85044,0.034618,0.851245,0.034405,0.70249,0.068811
10794,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.700889,0.068283,0.851773,0.033804,0.857687,0.045653,0.843927,0.053837,0.849995,0.034478,0.850807,0.034256,0.701614,0.068513
10795,svm_poly,"{'classifier__C': 10, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.701739,0.068628,0.852184,0.033985,0.857945,0.045849,0.844545,0.05372,0.85044,0.034618,0.851245,0.034405,0.70249,0.068811
10795,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.700889,0.068283,0.851773,0.033804,0.857687,0.045653,0.843927,0.053837,0.849995,0.034478,0.850807,0.034256,0.701614,0.068513
2730,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.704461,0.067636,0.853532,0.033499,0.859302,0.045505,0.845876,0.05344,0.851784,0.034135,0.852589,0.033922,0.705178,0.067844
2731,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.704381,0.067631,0.85349,0.0335,0.859246,0.045546,0.845852,0.05342,0.851743,0.03413,0.852549,0.033916,0.705098,0.067832
14446,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.705862,0.068387,0.854418,0.033809,0.862632,0.045038,0.843522,0.053722,0.852263,0.034544,0.853077,0.034309,0.706154,0.068619
14447,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.705886,0.068389,0.854429,0.033807,0.862651,0.045053,0.843522,0.053755,0.852271,0.034541,0.853086,0.034309,0.706173,0.068618
12132,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.693995,0.069245,0.847563,0.03451,0.844058,0.04722,0.85224,0.053355,0.847349,0.034869,0.848149,0.03474,0.696298,0.06948
12133,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.694067,0.06923,0.847605,0.034498,0.84415,0.047173,0.852215,0.053339,0.847384,0.034858,0.848183,0.034731,0.696365,0.069462
4346,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.690321,0.069299,0.846069,0.034452,0.84603,0.046464,0.846121,0.054085,0.845284,0.035024,0.846076,0.034849,0.692151,0.069698
12663,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.703294,0.068345,0.851638,0.034375,0.841942,0.048038,0.864534,0.05028,0.852427,0.034383,0.853238,0.034236,0.706477,0.068473
17326,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708021,0.068839,0.856372,0.033645,0.881969,0.042361,0.822371,0.056491,0.85087,0.03525,0.85217,0.034705,0.70434,0.06941
17327,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708021,0.068839,0.856372,0.033645,0.881969,0.042361,0.822371,0.056491,0.85087,0.03525,0.85217,0.034705,0.70434,0.06941
5608,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.703052,0.06788,0.852932,0.033611,0.860679,0.046103,0.842662,0.053844,0.850817,0.034236,0.85167,0.034008,0.70334,0.068016
5609,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.703139,0.067875,0.852975,0.033611,0.86066,0.046082,0.842783,0.053768,0.850872,0.034234,0.851722,0.034003,0.703443,0.068007
4648,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.69352,0.069763,0.848449,0.034466,0.859663,0.046306,0.833558,0.055392,0.845681,0.035313,0.846611,0.035005,0.693221,0.07001
4649,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.69352,0.069763,0.848449,0.034466,0.859663,0.046306,0.833558,0.055392,0.845681,0.035313,0.846611,0.035005,0.693221,0.07001
24442,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708201,0.067944,0.856505,0.033222,0.8838,0.042345,0.820242,0.05605,0.850643,0.034852,0.852021,0.03425,0.704042,0.068499
24443,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708311,0.06797,0.856557,0.033237,0.883874,0.042395,0.820267,0.056047,0.850691,0.034861,0.85207,0.034259,0.704141,0.068518
2926,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.706279,0.068566,0.854747,0.033845,0.865129,0.04489,0.84097,0.054692,0.852181,0.034736,0.85305,0.034454,0.706099,0.068908
2927,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.706401,0.068599,0.85481,0.03386,0.86524,0.044888,0.84097,0.054714,0.852236,0.034753,0.853105,0.034471,0.706211,0.068943
17915,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.692999,0.070117,0.848721,0.034453,0.870099,0.045553,0.820315,0.057423,0.843965,0.035777,0.845207,0.035279,0.690413,0.070557
5230,svm_poly,"{'classifier__C': 100, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.712111,0.067701,0.858301,0.033125,0.88073,0.041877,0.828515,0.054691,0.853496,0.034471,0.854622,0.034052,0.709244,0.068104
5231,svm_poly,"{'classifier__C': 100, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.712156,0.067657,0.858322,0.033105,0.880767,0.041884,0.828515,0.054691,0.853513,0.034451,0.854641,0.034031,0.709281,0.068062
2539,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.698326,0.069182,0.850611,0.034263,0.858861,0.046828,0.839665,0.054654,0.84838,0.034921,0.849263,0.034668,0.698526,0.069336
5608,svm_poly,"{'classifier__C': 1, 'classifier__degree': 6, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.7015,0.068882,0.852151,0.034201,0.859809,0.046911,0.841999,0.053995,0.850044,0.034793,0.850904,0.034533,0.701808,0.069066
8054,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708338,0.066785,0.854341,0.033466,0.846614,0.046899,0.864618,0.05077,0.854823,0.033612,0.855616,0.033484,0.711232,0.066968
8054,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.708342,0.066777,0.854341,0.033463,0.846595,0.046907,0.864643,0.050756,0.854826,0.033607,0.855619,0.033478,0.711239,0.066957
8054,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.708342,0.066777,0.854341,0.033463,0.846595,0.046907,0.864643,0.050756,0.854826,0.033607,0.855619,0.033478,0.711239,0.066957
8055,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.708219,0.066819,0.854277,0.033489,0.846502,0.046939,0.864619,0.050717,0.854768,0.033626,0.855561,0.033497,0.711121,0.066994
8055,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.708218,0.066857,0.854277,0.033509,0.846503,0.046945,0.864619,0.050717,0.854768,0.033645,0.855561,0.033516,0.711122,0.067033
8055,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.708219,0.066819,0.854277,0.033489,0.846502,0.046939,0.864619,0.050717,0.854768,0.033626,0.855561,0.033497,0.711121,0.066994
