dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
7602,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.685277,0.057065,0.84456,0.028307,0.837394,0.03744,0.855171,0.044898,0.845713,0.028823,0.846282,0.028771,0.692565,0.057543
6387,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.682102,0.056443,0.84386,0.027788,0.843072,0.036129,0.845026,0.045397,0.843529,0.028604,0.844049,0.028508,0.688098,0.057016
13044,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690342,0.054555,0.847626,0.026966,0.844507,0.03624,0.852241,0.044525,0.847838,0.02763,0.848374,0.027548,0.696747,0.055096
13045,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690331,0.054549,0.84762,0.026963,0.844496,0.036241,0.852241,0.044525,0.847833,0.027627,0.848368,0.027545,0.696737,0.055089
13812,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690335,0.054501,0.84762,0.026939,0.844486,0.036243,0.852256,0.044521,0.847834,0.027602,0.848371,0.02752,0.696742,0.05504
13813,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690321,0.054498,0.847614,0.026939,0.844486,0.036243,0.852241,0.044509,0.847827,0.0276,0.848363,0.027518,0.696726,0.055035
1524,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690078,0.054599,0.847491,0.026998,0.844393,0.036396,0.852073,0.044645,0.847692,0.027659,0.848233,0.027572,0.696467,0.055143
1525,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690104,0.054625,0.847504,0.027011,0.844404,0.036412,0.852088,0.044642,0.847705,0.02767,0.848246,0.027583,0.696492,0.055165
3698,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.686411,0.057434,0.846147,0.028285,0.846533,0.03647,0.84557,0.045393,0.845542,0.029061,0.846052,0.02896,0.692103,0.057919
756,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.690081,0.054703,0.847498,0.027048,0.844424,0.036398,0.852043,0.044663,0.847694,0.027712,0.848234,0.027624,0.696467,0.055249
