dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
21539,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.66743,0.087405,0.839487,0.042079,0.840791,0.051649,0.837238,0.074329,0.837739,0.045184,0.839015,0.044731,0.678029,0.089462
10032,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.679803,0.084392,0.843542,0.041454,0.834838,0.053168,0.858532,0.069978,0.845406,0.043217,0.846685,0.04304,0.693371,0.08608
10033,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.679803,0.084392,0.843542,0.041454,0.834838,0.053168,0.858532,0.069978,0.845406,0.043217,0.846685,0.04304,0.693371,0.08608
9264,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.679871,0.084372,0.843571,0.041448,0.834862,0.053209,0.858571,0.070027,0.845433,0.043211,0.846716,0.043032,0.693433,0.086063
9265,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.679871,0.084372,0.843571,0.041448,0.834862,0.053209,0.858571,0.070027,0.845433,0.043211,0.846716,0.043032,0.693433,0.086063
22206,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.662948,0.083853,0.835138,0.041106,0.826235,0.052862,0.850532,0.070024,0.837081,0.042917,0.838383,0.042758,0.676767,0.085515
22207,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.662795,0.083838,0.835065,0.041107,0.826166,0.052857,0.850452,0.069899,0.837012,0.042889,0.838309,0.042737,0.676618,0.085474
22974,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.662942,0.083911,0.835138,0.041132,0.826235,0.052862,0.850532,0.069955,0.837085,0.042925,0.838383,0.042773,0.676767,0.085546
22975,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.662825,0.083917,0.835079,0.041143,0.826166,0.052857,0.850492,0.069881,0.837034,0.042923,0.838329,0.042772,0.676658,0.085544
10020,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673765,0.084401,0.840184,0.041478,0.829897,0.053387,0.857945,0.070664,0.842569,0.043328,0.843921,0.043107,0.687842,0.086214
10021,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673765,0.084401,0.840184,0.041478,0.829897,0.053387,0.857945,0.070664,0.842569,0.043328,0.843921,0.043107,0.687842,0.086214
15974,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.667535,0.088038,0.839805,0.042486,0.842591,0.052347,0.834962,0.073707,0.837509,0.045339,0.838776,0.044904,0.677552,0.089807
15975,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.667564,0.088028,0.83982,0.042484,0.842614,0.052361,0.834962,0.073707,0.83752,0.045333,0.838788,0.044898,0.677575,0.089797
21728,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673595,0.084362,0.840112,0.041468,0.829848,0.053356,0.857825,0.070375,0.842496,0.043263,0.843836,0.043057,0.687672,0.086114
21729,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673595,0.084362,0.840112,0.041468,0.829848,0.053356,0.857825,0.070375,0.842496,0.043263,0.843836,0.043057,0.687672,0.086114
22496,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673683,0.084456,0.840156,0.041511,0.829894,0.053383,0.857865,0.070421,0.842539,0.043308,0.843879,0.043103,0.687758,0.086206
22497,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673683,0.084456,0.840156,0.041511,0.829894,0.053383,0.857865,0.070421,0.842539,0.043308,0.843879,0.043103,0.687758,0.086206
9252,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673764,0.084576,0.840183,0.04156,0.829919,0.053486,0.857903,0.070776,0.842556,0.043407,0.843911,0.043188,0.687822,0.086377
9253,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673764,0.084576,0.840183,0.04156,0.829919,0.053486,0.857903,0.070776,0.842556,0.043407,0.843911,0.043188,0.687822,0.086377
12728,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.664999,0.079535,0.829721,0.041497,0.79505,0.056885,0.889714,0.059908,0.839979,0.040956,0.842382,0.04055,0.684764,0.0811
12729,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.664999,0.079535,0.829721,0.041497,0.79505,0.056885,0.889714,0.059908,0.839979,0.040956,0.842382,0.04055,0.684764,0.0811
13496,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.665411,0.079498,0.829939,0.041464,0.79528,0.056783,0.889911,0.059817,0.8402,0.040928,0.842595,0.040525,0.685191,0.081049
13497,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.665411,0.079498,0.829939,0.041464,0.79528,0.056783,0.889911,0.059817,0.8402,0.040928,0.842595,0.040525,0.685191,0.081049
6194,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.670358,0.083814,0.840188,0.040873,0.838211,0.053016,0.843608,0.070876,0.839639,0.042945,0.840909,0.042623,0.681819,0.085245
6195,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.670358,0.083814,0.840188,0.040873,0.838211,0.053016,0.843608,0.070876,0.839639,0.042945,0.840909,0.042623,0.681819,0.085245
6962,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.670367,0.083941,0.840174,0.040935,0.838119,0.053081,0.843728,0.070994,0.839649,0.043018,0.840924,0.042693,0.681847,0.085386
6963,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.670367,0.083941,0.840174,0.040935,0.838119,0.053081,0.843728,0.070994,0.839649,0.043018,0.840924,0.042693,0.681847,0.085386
21802,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.64807,0.088526,0.827656,0.043218,0.818549,0.054247,0.8434,0.075184,0.829524,0.045795,0.830975,0.045502,0.661949,0.091004
21803,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.648138,0.088734,0.827686,0.043329,0.818596,0.054368,0.843406,0.075446,0.829542,0.045946,0.831001,0.045639,0.662002,0.091279
22570,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.647888,0.08874,0.827612,0.043331,0.818712,0.054319,0.843005,0.075235,0.829412,0.045919,0.830858,0.045607,0.661717,0.091213
22571,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.648068,0.089044,0.8277,0.043508,0.818827,0.05453,0.843048,0.075386,0.829487,0.046086,0.830937,0.045772,0.661875,0.091545
3698,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.677327,0.087314,0.842844,0.042446,0.836675,0.052952,0.853491,0.072981,0.843799,0.044855,0.845083,0.044603,0.690166,0.089206
15398,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.667604,0.085888,0.839439,0.041379,0.840114,0.051719,0.838238,0.073139,0.837907,0.044256,0.839176,0.043832,0.678352,0.087664
15399,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.667225,0.085875,0.839263,0.041364,0.840043,0.051787,0.837877,0.073425,0.837676,0.04428,0.83896,0.04385,0.67792,0.087699
21540,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673504,0.084975,0.840038,0.041735,0.829735,0.053674,0.85782,0.071026,0.842416,0.043573,0.843778,0.043371,0.687555,0.086742
21541,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.673504,0.084975,0.840038,0.041735,0.829735,0.053674,0.85782,0.071026,0.842416,0.043573,0.843778,0.043371,0.687555,0.086742
