dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
10915,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.702675,0.067061,0.851681,0.033613,0.845933,0.047281,0.859329,0.051568,0.851827,0.033843,0.852631,0.033661,0.705262,0.067322
11682,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.702674,0.067186,0.851681,0.033677,0.845969,0.047354,0.859281,0.051679,0.851818,0.033912,0.852625,0.033728,0.70525,0.067456
10986,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.706476,0.0679,0.855003,0.03343,0.867807,0.044142,0.837992,0.054719,0.851991,0.034432,0.852899,0.034131,0.705799,0.068261
11370,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.70374,0.067979,0.853797,0.033422,0.868769,0.04374,0.833916,0.054289,0.850407,0.034439,0.851342,0.034122,0.702685,0.068245
3886,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.706306,0.067933,0.85421,0.033656,0.856514,0.045418,0.851157,0.053092,0.853075,0.034223,0.853836,0.034062,0.707671,0.068123
17130,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.700085,0.068607,0.851891,0.033708,0.86553,0.044087,0.833775,0.055588,0.84871,0.0348,0.849652,0.034498,0.699305,0.068995
17131,svm_rbf,"{'classifier__C': 10000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.70075,0.068776,0.852218,0.033807,0.865827,0.044178,0.834143,0.055597,0.849044,0.0349,0.849985,0.034587,0.699969,0.069175
23274,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.705898,0.068134,0.85458,0.033583,0.865446,0.044765,0.840149,0.054825,0.85191,0.034507,0.852798,0.034227,0.705595,0.068455
23275,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.705479,0.068438,0.8544,0.033733,0.865668,0.044812,0.839437,0.054909,0.85166,0.034676,0.852553,0.034382,0.705105,0.068763
8006,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.69296,0.068566,0.846047,0.034474,0.832754,0.048732,0.863722,0.0516,0.847304,0.034485,0.848238,0.034376,0.696476,0.068753
23274,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.704228,0.068384,0.853841,0.033672,0.866129,0.044635,0.837524,0.05515,0.85091,0.034666,0.851827,0.034364,0.703653,0.068727
23274,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.704165,0.068174,0.853799,0.033584,0.865851,0.044671,0.837793,0.054798,0.850915,0.034528,0.851822,0.034237,0.703644,0.068475
23275,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.704228,0.068354,0.853841,0.033658,0.866129,0.044619,0.837524,0.05515,0.85091,0.034654,0.851827,0.034351,0.703653,0.068702
23275,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.701274,0.069181,0.852459,0.034031,0.865942,0.044686,0.834555,0.055454,0.849309,0.035057,0.850248,0.034747,0.700497,0.069494
10360,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.702347,0.068013,0.851805,0.03386,0.848986,0.046331,0.85556,0.052687,0.851501,0.03424,0.852273,0.03413,0.704546,0.068259
10361,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.702389,0.067815,0.851826,0.033764,0.849004,0.046284,0.855584,0.052577,0.851523,0.034138,0.852294,0.034027,0.704588,0.068054
20011,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.703916,0.068311,0.85347,0.033788,0.862173,0.045436,0.841919,0.053656,0.851213,0.034478,0.852046,0.034239,0.704092,0.068478
20592,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.699022,0.069271,0.850412,0.034466,0.850807,0.047004,0.849905,0.052937,0.849583,0.034838,0.850356,0.034682,0.700712,0.069364
21360,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.698923,0.069036,0.850349,0.03436,0.850622,0.047043,0.850006,0.052777,0.84954,0.034711,0.850314,0.034555,0.700628,0.069111
5229,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.706309,0.067787,0.854747,0.033437,0.864926,0.044875,0.841232,0.053839,0.852224,0.0342,0.853079,0.033967,0.706158,0.067935
18428,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.696767,0.068053,0.848617,0.034144,0.841775,0.048241,0.857713,0.051525,0.848919,0.034228,0.849744,0.034088,0.699488,0.068176
18091,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.699823,0.067748,0.851666,0.033406,0.863726,0.044618,0.83566,0.054081,0.848799,0.034276,0.849693,0.033995,0.699385,0.06799
11946,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.705236,0.067241,0.853901,0.03327,0.859341,0.045044,0.846684,0.053496,0.852215,0.033955,0.853013,0.033751,0.706026,0.067503
11947,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.705218,0.067249,0.853891,0.033272,0.859323,0.045073,0.846684,0.053474,0.852206,0.033949,0.853004,0.033748,0.706007,0.067496
5228,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.70677,0.067937,0.85499,0.03352,0.865554,0.045088,0.840963,0.053903,0.852392,0.034268,0.853259,0.034033,0.706517,0.068066
5229,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.706774,0.067911,0.85499,0.033511,0.865517,0.045107,0.841012,0.053845,0.852399,0.034248,0.853265,0.034015,0.706529,0.068031
15983,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.706179,0.068453,0.854653,0.033763,0.865019,0.045674,0.840902,0.054463,0.852073,0.034498,0.85296,0.034269,0.70592,0.068538
24228,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.690354,0.071177,0.845842,0.035467,0.843716,0.048464,0.848678,0.054157,0.845378,0.035784,0.846197,0.035646,0.692394,0.071292
24229,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.690396,0.071141,0.845863,0.035446,0.843735,0.048421,0.848703,0.054187,0.845399,0.035769,0.846219,0.035632,0.692438,0.071263
17706,svm_rbf,"{'classifier__C': 10000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.702298,0.067552,0.85286,0.033246,0.864559,0.044231,0.837329,0.054781,0.850044,0.034221,0.850944,0.033946,0.701887,0.067891
17707,svm_rbf,"{'classifier__C': 10000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.70236,0.067504,0.852892,0.033218,0.864595,0.0442,0.837353,0.05475,0.850075,0.03419,0.850974,0.033918,0.701948,0.067835
5034,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.701329,0.067258,0.852471,0.03313,0.865592,0.044274,0.835053,0.054204,0.849404,0.034047,0.850323,0.033764,0.700645,0.067529
8054,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.703552,0.067129,0.852335,0.033502,0.848498,0.046167,0.857435,0.051633,0.852208,0.033827,0.852967,0.033687,0.705933,0.067374
8055,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.703841,0.06716,0.852483,0.033514,0.848683,0.046144,0.857532,0.051712,0.852348,0.03385,0.853107,0.033709,0.706215,0.067419
5422,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.699579,0.070202,0.851363,0.034676,0.860896,0.046073,0.838707,0.054899,0.848936,0.035416,0.849801,0.035187,0.699602,0.070374
11562,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.701472,0.067315,0.852427,0.033164,0.863817,0.044486,0.837298,0.054511,0.84966,0.03407,0.850557,0.03381,0.701115,0.06762
4842,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703825,0.06763,0.853631,0.033261,0.865143,0.043827,0.838338,0.054423,0.850869,0.034221,0.851741,0.033967,0.703481,0.067934
4843,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703826,0.067603,0.853631,0.033248,0.865162,0.043849,0.838313,0.054411,0.850865,0.034203,0.851738,0.03395,0.703475,0.0679
17514,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.702946,0.067713,0.853186,0.033368,0.864798,0.044332,0.837772,0.054332,0.850401,0.034287,0.851285,0.034006,0.70257,0.068012
17515,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.702887,0.067723,0.853155,0.033374,0.864742,0.044352,0.837772,0.054332,0.850373,0.034289,0.851257,0.034009,0.702514,0.068018
4650,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.702643,0.068107,0.853007,0.033588,0.864371,0.044838,0.837912,0.0546,0.850248,0.034487,0.851141,0.034204,0.702283,0.068409
4651,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.702326,0.068043,0.852892,0.033533,0.864872,0.044633,0.836981,0.054654,0.850023,0.034464,0.850927,0.034174,0.701853,0.068348
11952,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.699126,0.069144,0.850752,0.034359,0.85485,0.046858,0.845306,0.053276,0.849282,0.03481,0.850078,0.034627,0.700156,0.069253
11953,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.69905,0.069071,0.85072,0.034321,0.854887,0.046805,0.845182,0.053278,0.849238,0.034778,0.850035,0.034594,0.70007,0.069188
6330,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.700429,0.06863,0.850868,0.034251,0.848564,0.047442,0.853938,0.052533,0.850464,0.034529,0.851251,0.03439,0.702502,0.068779
6331,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.700447,0.068644,0.850879,0.034256,0.848583,0.047418,0.853938,0.052533,0.850474,0.034536,0.85126,0.034398,0.702521,0.068796
17514,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.704708,0.067084,0.854041,0.033068,0.86535,0.044269,0.839032,0.053618,0.851324,0.033906,0.852191,0.033643,0.704382,0.067286
17515,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.704689,0.067103,0.854031,0.03308,0.865331,0.044302,0.839032,0.053618,0.851314,0.033915,0.852182,0.033652,0.704363,0.067303
17329,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.694596,0.070791,0.848727,0.034999,0.855443,0.046128,0.839807,0.054843,0.846809,0.035711,0.847625,0.035507,0.69525,0.071014
11937,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.695556,0.0689,0.848714,0.034236,0.849486,0.046685,0.847701,0.05351,0.847804,0.034683,0.848593,0.034536,0.697187,0.069072
20918,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.6986,0.068667,0.850077,0.034147,0.848593,0.046064,0.852059,0.05303,0.849567,0.03461,0.850326,0.034482,0.700651,0.068964
5242,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.704132,0.06761,0.853756,0.033341,0.865654,0.044742,0.837967,0.054957,0.850889,0.034311,0.85181,0.033997,0.703621,0.067993
5243,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.704186,0.067555,0.853788,0.033307,0.865727,0.044644,0.837943,0.054977,0.850914,0.034292,0.851835,0.033976,0.70367,0.067952
11492,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.706349,0.066583,0.853674,0.033286,0.849296,0.04615,0.859506,0.051376,0.853638,0.033602,0.854401,0.033441,0.708802,0.066882
24430,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.692769,0.071025,0.84884,0.034767,0.873532,0.043489,0.816035,0.057995,0.843475,0.036406,0.844784,0.035847,0.689567,0.071694
24431,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.692537,0.071462,0.848723,0.034967,0.873367,0.043587,0.815985,0.058221,0.843368,0.036615,0.844676,0.036059,0.689352,0.072118
15210,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703905,0.067937,0.853448,0.033581,0.861708,0.044961,0.84249,0.053612,0.85128,0.034314,0.852099,0.034077,0.704198,0.068154
15211,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.704233,0.067693,0.853596,0.033445,0.861578,0.044726,0.843005,0.053647,0.851478,0.034205,0.852292,0.033971,0.704584,0.067942
15211,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703884,0.068009,0.853437,0.033617,0.861689,0.044991,0.84249,0.053612,0.851271,0.034347,0.85209,0.03411,0.704179,0.068221
2922,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.703947,0.067275,0.853385,0.033247,0.860451,0.044729,0.844012,0.053613,0.851421,0.034001,0.852231,0.033769,0.704463,0.067538
2923,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.703969,0.067284,0.853396,0.033251,0.86047,0.044752,0.844012,0.053613,0.85143,0.034003,0.852241,0.033771,0.704481,0.067543
2923,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.704119,0.067155,0.853533,0.03319,0.861264,0.04444,0.843275,0.053339,0.851465,0.033954,0.852269,0.033716,0.704539,0.067431
4842,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.705988,0.067754,0.854602,0.033441,0.864574,0.04458,0.841361,0.053493,0.852134,0.034219,0.852967,0.033975,0.705935,0.06795
4843,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.706048,0.067736,0.854633,0.03343,0.864611,0.044546,0.841385,0.053459,0.852166,0.034208,0.852998,0.033965,0.705996,0.067929
14442,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.705432,0.067481,0.854134,0.033344,0.861243,0.044595,0.844701,0.053619,0.85217,0.034113,0.852972,0.033882,0.705944,0.067764
14443,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.70541,0.067456,0.854123,0.033329,0.861225,0.044564,0.844701,0.053617,0.852161,0.034101,0.852963,0.033871,0.705926,0.067741
22702,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.70662,0.067635,0.854728,0.033384,0.862466,0.045047,0.84446,0.054187,0.852627,0.034152,0.853463,0.033933,0.706927,0.067866
11370,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703782,0.066885,0.853586,0.032971,0.864759,0.044138,0.838752,0.053317,0.850899,0.033784,0.851755,0.03353,0.703511,0.06706
11371,svm_rbf,"{'classifier__C': 12000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.703784,0.066828,0.853587,0.032947,0.86474,0.044163,0.838777,0.053214,0.850904,0.033742,0.851759,0.033493,0.703517,0.066986
11936,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.696358,0.068965,0.849012,0.034315,0.848752,0.047067,0.849374,0.053499,0.848265,0.034718,0.849063,0.034569,0.698126,0.069139
11937,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.696401,0.068924,0.849033,0.034294,0.848771,0.04705,0.849399,0.053506,0.848286,0.034699,0.849085,0.03455,0.698169,0.069101
4654,svm_rbf,"{'classifier__C': 3000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.703027,0.070468,0.853125,0.034775,0.863115,0.045673,0.839857,0.054601,0.850641,0.035519,0.851486,0.035299,0.702972,0.070597
12068,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.706185,0.066998,0.853589,0.033558,0.849054,0.046539,0.859626,0.050716,0.853591,0.033776,0.85434,0.033611,0.708679,0.067223
12069,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.705767,0.067169,0.853379,0.033626,0.848926,0.046647,0.859309,0.051006,0.853361,0.033852,0.854117,0.033694,0.708234,0.067388
12260,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.708972,0.067732,0.855002,0.033856,0.850808,0.046485,0.860587,0.051515,0.854945,0.034158,0.855698,0.033995,0.711395,0.06799
12261,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.708722,0.067812,0.854886,0.033904,0.850791,0.046541,0.860341,0.051541,0.854814,0.034206,0.855566,0.03404,0.711132,0.068079
11372,svm_rbf,"{'classifier__C': 5000, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.7042,0.068048,0.853819,0.033534,0.865869,0.044664,0.837815,0.054577,0.85094,0.034449,0.851842,0.034161,0.703684,0.068321
23658,svm_rbf,"{'classifier__C': 10000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701292,0.068046,0.852373,0.033566,0.864202,0.04498,0.836663,0.053996,0.849541,0.034398,0.850433,0.034109,0.700866,0.068217
23659,svm_rbf,"{'classifier__C': 10000, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701398,0.068067,0.852426,0.033578,0.864276,0.045013,0.836688,0.054009,0.849589,0.034409,0.850482,0.034118,0.700964,0.068237
1776,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.699071,0.070418,0.850624,0.034922,0.853036,0.046174,0.847421,0.054857,0.849441,0.035641,0.850229,0.035424,0.700457,0.070848
1777,svm_rbf,"{'classifier__C': 7000, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.699047,0.070154,0.850614,0.034782,0.853055,0.046043,0.847372,0.054866,0.849423,0.035515,0.850213,0.035299,0.700426,0.070598
